"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"213246_at",0.303503201942859,4.64673146033333,2.66704893609499,0.0130466948939933,0.0381438111613213,-3.93007219225259
"213271_s_at",-0.265966549142857,4.790477649125,-2.6670272498279,0.0130473511266898,0.0381438111613213,-3.9301189261151
"217462_at",0.193176026428571,1.75308714983333,2.66689190006762,0.0130514475477078,0.0381507803464489,-3.9304105997366
"213583_x_at",-0.173483300571428,11.07403262875,-2.66618205906456,0.0130729509230973,0.0382086234208657,-3.93194014355859
"221798_x_at",0.168327951999997,10.8899990441667,2.66590031035822,0.0130814951906883,0.0382285803965583,-3.93254718342301
"213775_x_at",-0.442642984485715,5.956221471625,-2.66572254870007,0.013086888652083,0.038239325616796,-3.93293016003645
"205031_at",-0.358368772457143,4.0756993455,-2.66388067616911,0.0131428954924723,0.038397938739122,-3.93689751310202
"216711_s_at",-0.340013706114285,2.906024158875,-2.66372872761592,0.0131475258785999,0.0384033187077945,-3.93722473781424
"216476_at",0.247453227428571,1.6742099925,2.66370711031513,0.0131481847548749,0.0384033187077945,-3.93727129031321
"221953_s_at",0.291575878257143,3.52158357545833,2.6631608185035,0.0131648455087599,0.0384469406657897,-3.93844764983121
"207017_at",-0.237679097114285,2.61975237979167,-2.66295523835944,0.0131711203865501,0.0384602239941246,-3.93889030130264
"211692_s_at",-0.316076788571428,3.10790121895833,-2.66277459811354,0.0131766363393084,0.0384712880381092,-3.93927923669675
"214202_at",-0.282190966857143,1.947669549875,-2.66180689426081,0.0132062225543337,0.0385526169365603,-3.9413625399514
"212150_at",-0.317207121142856,6.40344577541667,-2.66143124429921,0.0132177242755316,0.0385811377995307,-3.94217113564903
"208867_s_at",-0.550659867628571,5.61257053304167,-2.66104878739344,0.013229444042077,0.0386102875573627,-3.94299431716563
"214084_x_at",0.278176198485714,1.60933127129167,2.66076625086068,0.0132381081560794,0.0386305128887844,-3.94360239199575
"215136_s_at",0.284522102485714,4.58959335916667,2.6604687867026,0.0132472357698512,0.0386520852973118,-3.94424255458109
"202797_at",-0.39908812757143,5.79897767983333,-2.65993661444498,0.0132635800357062,0.038694705664671,-3.94538772354006
"219523_s_at",0.348180641857143,2.46776040795833,2.65954513504074,0.0132756153344655,0.0387247456862496,-3.94623005610846
"202649_x_at",-0.155900631714287,10.1982130116667,-2.65947534416024,0.0132777619967948,0.0387259366329666,-3.94638021534103
"218976_at",-0.240560123171428,1.331545095,-2.65937461780712,0.0132808607602476,0.0387299038036439,-3.94659693015201
"213070_at",-0.4384267242,5.926392491125,-2.6589851329856,0.0132928493081158,0.0387597911043058,-3.94743487100646
"201325_s_at",-0.297620434514284,6.80638246225,-2.65875433910917,0.0132999580416534,0.038775443697672,-3.94793137007354
"205573_s_at",-0.324383778,6.04948222641667,-2.65863360453703,0.0133036782308479,0.0387812143350692,-3.94819109255865
"219489_s_at",0.220387631828571,6.46797554554167,2.65827504171773,0.0133147323512043,0.0388083596215854,-3.9489623884038
"207991_x_at",0.200073391714286,1.78332219625,2.65810586177634,0.0133199509766537,0.0388184913535996,-3.94932628684804
"210920_x_at",-0.217344426457143,1.0118133065,-2.65802019274748,0.0133225943043992,0.0388211161960891,-3.94951055207365
