"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"MAP7D3",4.46357677392547e-05,0.469057800869335,0.183,0.133,1,"MAP7D3","Endothelial"
"FADS3",4.49894013114765e-05,0.424161306442103,0.352,0.286,1,"FADS3","Endothelial"
"STK38L",4.50345677162874e-05,0.325375815562667,0.23,0.173,1,"STK38L","Endothelial"
"MAFG",4.51567910279337e-05,0.425623437757495,0.319,0.255,1,"MAFG","Endothelial"
"GCHFR",4.5648638470372e-05,-0.873666901191762,0.075,0.111,1,"GCHFR","Endothelial"
"ICAM4",4.57915197038305e-05,0.59270782588576,0.161,0.115,1,"ICAM4","Endothelial"
"FGD4",4.584709377628e-05,-0.572071350500381,0.184,0.23,1,"FGD4","Endothelial"
"NECTIN2",4.60906134877155e-05,0.274647166084185,0.624,0.572,1,"NECTIN2","Endothelial"
"CNTNAP3",4.66898063941331e-05,-0.514910940408027,0.106,0.149,1,"CNTNAP3","Endothelial"
"GRAMD1A",4.68518026698427e-05,0.328432325664814,0.396,0.325,1,"GRAMD1A","Endothelial"
"SLC38A1",4.7838089228233e-05,0.462488822522992,0.15,0.103,1,"SLC38A1","Endothelial"
"PLEKHB2",4.81053519141623e-05,0.369264418679574,0.329,0.266,1,"PLEKHB2","Endothelial"
"CYTH1",4.82704850316658e-05,0.348440906917112,0.361,0.291,1,"CYTH1","Endothelial"
"GCH1",4.86434732586659e-05,0.534902035401474,0.114,0.074,1,"GCH1","Endothelial"
"RAPGEF3",4.8999421509527e-05,-0.442478995091916,0.308,0.353,1,"RAPGEF3","Endothelial"
"FEM1C",4.91654608821841e-05,0.46140815444542,0.179,0.129,1,"FEM1C","Endothelial"
"ST6GALNAC3",4.94350351379187e-05,0.785167542391251,0.104,0.066,1,"ST6GALNAC3","Endothelial"
"SAMD9",4.98938192784974e-05,0.462879876412256,0.203,0.151,1,"SAMD9","Endothelial"
"FRMD8",5.12651240933013e-05,0.586769942775833,0.16,0.113,1,"FRMD8","Endothelial"
"FDX1",5.27070558640351e-05,0.487997749419967,0.203,0.151,1,"FDX1","Endothelial"
"CLCN7",5.32232240156069e-05,0.818060896990195,0.131,0.089,1,"CLCN7","Endothelial"
"TOP1",5.33371444495303e-05,0.262394169815933,0.423,0.364,1,"TOP1","Endothelial"
"PDIA4",5.3640854809888e-05,0.350405836203261,0.348,0.283,1,"PDIA4","Endothelial"
"KLF16",5.36774379966396e-05,0.335138877519014,0.137,0.094,1,"KLF16","Endothelial"
"SELENON",5.38064478754943e-05,0.457976383644235,0.271,0.211,1,"SELENON","Endothelial"
"AFAP1",5.3980777512863e-05,0.359260760147586,0.221,0.165,1,"AFAP1","Endothelial"
"SELP",5.51046862050176e-05,0.495683605555566,0.273,0.217,1,"SELP","Endothelial"
"TAF1C",5.56663820833902e-05,-0.607542795564919,0.142,0.186,1,"TAF1C","Endothelial"
"DNAJB6",5.58999208279632e-05,0.316884804731643,0.568,0.52,1,"DNAJB6","Endothelial"
