"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"ZFHX4",6.09586843740304e-26,-0.869055220374868,0.283,0.341,1.51482330669465e-21,"ZFHX4","Fibroblast"
"GDE1",6.13551632046833e-26,0.338026437631636,0.32,0.22,1.52467580563638e-21,"GDE1","Fibroblast"
"SLC38A5",6.66724454318282e-26,0.498439473819841,0.155,0.087,1.65681026898093e-21,"SLC38A5","Fibroblast"
"TMEM176A",7.4635476647002e-26,-0.331327205321075,0.432,0.514,1.854691594678e-21,"TMEM176A","Fibroblast"
"PPAN",7.7054606067533e-26,0.56552665797307,0.163,0.093,1.9148069607782e-21,"PPAN","Fibroblast"
"FMO1",7.97744988811859e-26,-1.14680075310531,0.082,0.138,1.98239629719747e-21,"FMO1","Fibroblast"
"ZBTB8OS",8.06329251909872e-26,0.329643630091634,0.325,0.223,2.00372819099603e-21,"ZBTB8OS","Fibroblast"
"RBP4",8.12433466889859e-26,0.603603371727194,0.135,0.071,2.0188971652213e-21,"RBP4","Fibroblast"
"SLC3A2",8.20332554430859e-26,0.35803911701631,0.497,0.384,2.03852639776068e-21,"SLC3A2","Fibroblast"
"HSPB6",9.04834112280803e-26,-0.522602070163562,0.216,0.294,2.24851276901779e-21,"HSPB6","Fibroblast"
"CARD19",9.2343372482484e-26,0.254494763446741,0.396,0.282,2.29473280618973e-21,"CARD19","Fibroblast"
"ARL5A",9.61613561092593e-26,0.398656813967717,0.294,0.197,2.38960969931509e-21,"ARL5A","Fibroblast"
"UBE2F",1.0971926719873e-25,0.288269367419762,0.296,0.198,2.72652378988844e-21,"UBE2F","Fibroblast"
"UBE2E2",1.15798146068512e-25,0.297057714341612,0.34,0.238,2.87758392980253e-21,"UBE2E2","Fibroblast"
"DKK3",1.16012186377649e-25,0.38576293710337,0.605,0.5,2.88290283148458e-21,"DKK3","Fibroblast"
"EPSTI1",1.16407533562566e-25,0.378743016048644,0.193,0.115,2.89272720902975e-21,"EPSTI1","Fibroblast"
"KIF1C",1.19405107676754e-25,0.387738738079184,0.248,0.159,2.96721692576735e-21,"KIF1C","Fibroblast"
"RGS19",1.21707191880918e-25,0.578197139959153,0.12,0.059,3.0244237182408e-21,"RGS19","Fibroblast"
"PHF23",1.31218741098059e-25,0.466635866520163,0.22,0.138,3.26078571628676e-21,"PHF23","Fibroblast"
"NINJ1",1.33087003298798e-25,0.291664534719175,0.317,0.217,3.30721203197513e-21,"NINJ1","Fibroblast"
"MYO9B",1.35832845835011e-25,0.335113080668031,0.265,0.174,3.37544621900001e-21,"MYO9B","Fibroblast"
"PLXNA4",1.41349442530517e-25,-1.41507558277813,0.056,0.102,3.51253364688334e-21,"PLXNA4","Fibroblast"
"SLC30A7",1.69616697701733e-25,0.369541695096207,0.249,0.16,4.21497493788807e-21,"SLC30A7","Fibroblast"
