"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"CNOT6L",2.38194860447386e-19,-0.789646255839365,0.101,0.258,5.91914228211755e-15,"CNOT6L","Macrophage"
"PABPC1",2.43111590519869e-19,-0.320231989607966,0.77,0.935,6.04132302441875e-15,"PABPC1","Macrophage"
"S100A7",2.43718118648053e-19,4.23658783049802,0.101,0.014,6.05639524840413e-15,"S100A7","Macrophage"
"DEGS1",2.44538795043939e-19,-0.476955149229876,0.172,0.368,6.07678905684189e-15,"DEGS1","Macrophage"
"SNX24",2.49348960154805e-19,-0.951510882321108,0.076,0.221,6.19632165984691e-15,"SNX24","Macrophage"
"BAG6",2.54998187521766e-19,-0.813233356278824,0.136,0.312,6.33670495991589e-15,"BAG6","Macrophage"
"ANP32A",2.65084163871663e-19,-0.508620738389086,0.318,0.56,6.58734147221081e-15,"ANP32A","Macrophage"
"CEP63",2.77531789841601e-19,-1.27096135339655,0.092,0.24,6.89666497756379e-15,"CEP63","Macrophage"
"VEZF1",2.81753389457677e-19,-0.696429923248437,0.147,0.324,7.00157172802327e-15,"VEZF1","Macrophage"
"ARID3A",2.8272289081889e-19,-0.609766160011065,0.166,0.35,7.02566383684941e-15,"ARID3A","Macrophage"
"XPO1",2.89692156186692e-19,-0.63335917049565,0.183,0.378,7.19885008123929e-15,"XPO1","Macrophage"
"IL1B",2.93781133693892e-19,2.06324459995028,0.376,0.231,7.30046117229321e-15,"IL1B","Macrophage"
"WASHC4",3.03990374664732e-19,-0.559768600311483,0.249,0.461,7.5541608104186e-15,"WASHC4","Macrophage"
"S100A6",3.0443116933587e-19,0.412992889583191,0.97,0.97,7.56511455799638e-15,"S100A6","Macrophage"
"GTF3A",3.31554777437539e-19,-0.446282055959769,0.282,0.511,8.23913621932284e-15,"GTF3A","Macrophage"
"EIF2AK4",3.34926810202794e-19,-0.728983126463882,0.152,0.327,8.32293123353944e-15,"EIF2AK4","Macrophage"
"SETX",3.44314932133364e-19,-0.379782011672706,0.23,0.441,8.55622606351409e-15,"SETX","Macrophage"
"INTS1",3.49326563718603e-19,-1.03370554582054,0.06,0.195,8.68076510840728e-15,"INTS1","Macrophage"
"CABLES1",3.52699146060481e-19,-2.20580617505452,0.026,0.133,8.76457377960295e-15,"CABLES1","Macrophage"
"NQO2",3.74094512393086e-19,-0.482782855238946,0.228,0.441,9.29624863296819e-15,"NQO2","Macrophage"
"TENT2",3.91783988797544e-19,-0.624330871092019,0.197,0.388,9.73583212161896e-15,"TENT2","Macrophage"
"TAOK1",3.97995574692728e-19,-0.52805530859818,0.213,0.419,9.89019003111429e-15,"TAOK1","Macrophage"
"RHOBTB3",4.03897615932297e-19,-0.967713093662613,0.051,0.18,1.00368557559176e-14,"RHOBTB3","Macrophage"
"TMEM14B",4.24395521655395e-19,-0.387218710107529,0.255,0.474,1.05462287131366e-14,"TMEM14B","Macrophage"
"UBE2Q1",4.33496230724096e-19,-0.743439626214695,0.119,0.285,1.07723813334938e-14,"UBE2Q1","Macrophage"
"HNRNPH3",4.56430428516096e-19,-0.488967588735347,0.241,0.455,1.1342296148625e-14,"HNRNPH3","Macrophage"
"PTAFR",4.59675769078805e-19,-0.334251298404614,0.272,0.499,1.14229428616083e-14,"PTAFR","Macrophage"
"HOXB7",4.60314080345846e-19,-1.34363595208022,0.043,0.166,1.14388048965943e-14,"HOXB7","Macrophage"
"SMIM19",4.65943063217496e-19,-0.692235309589844,0.138,0.312,1.15786851209548e-14,"SMIM19","Macrophage"
"ADNP",4.72539256496331e-19,-0.949935975923387,0.088,0.233,1.17426005239338e-14,"ADNP","Macrophage"
"SIDT1",4.76040865064353e-19,-1.88342932776691,0.014,0.11,1.18296154968492e-14,"SIDT1","Macrophage"
"TNFRSF21",4.96985044657576e-19,-0.82533145028932,0.107,0.266,1.23500783597408e-14,"TNFRSF21","Macrophage"
"CORO1B",5.7253730899979e-19,-0.452235006439861,0.263,0.483,1.42275521286448e-14,"CORO1B","Macrophage"
"EVL",5.75833553056654e-19,-1.12869528426167,0.069,0.205,1.43094637934579e-14,"EVL","Macrophage"
"TNFRSF11A",5.77222909946249e-19,-1.12219496897059,0.038,0.156,1.43439893121643e-14,"TNFRSF11A","Macrophage"
"RAB5C",5.84947263405062e-19,-0.400122512785329,0.523,0.764,1.45359394956158e-14,"RAB5C","Macrophage"
"LMO4",5.9596474347996e-19,-0.475200239036909,0.28,0.508,1.4809723875477e-14,"LMO4","Macrophage"
"TEF",6.0463589090108e-19,-1.73216875364978,0.014,0.109,1.50252018888918e-14,"TEF","Macrophage"
"NUFIP2",6.24187823655314e-19,-0.378903479210895,0.31,0.544,1.55110674178346e-14,"NUFIP2","Macrophage"
