"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"CXCR4",8.11114720851627e-12,0.323627463834238,0.77,0.687,2.01562008131629e-07,"CXCR4","T_cell"
"GZMH",1.0027644363692e-11,1.05658432910621,0.155,0.084,2.49186962437746e-07,"GZMH","T_cell"
"DUSP4",1.05844830459668e-11,0.725276524944438,0.302,0.211,2.63024403692275e-07,"DUSP4","T_cell"
"TRBC2",1.06166559045139e-11,-0.350345181693545,0.558,0.654,2.63823899227171e-07,"TRBC2","T_cell"
"LINC01871",1.35973193675566e-11,1.04510717746267,0.259,0.178,3.37893386283782e-07,"LINC01871","T_cell"
"USP36",1.43069540719146e-11,0.886249539122166,0.181,0.103,3.55527808687079e-07,"USP36","T_cell"
"KRT6A",1.45180990110815e-11,1.17147568972057,0.142,0.074,3.60774760425375e-07,"KRT6A","T_cell"
"LINC01943",1.45247137791127e-11,1.50410908009838,0.114,0.053,3.6093913741095e-07,"LINC01943","T_cell"
"C1orf162",1.48056235875944e-11,-0.765436144077062,0.158,0.24,3.6791974615172e-07,"C1orf162","T_cell"
"SOS1",2.06619143843167e-11,-0.993463339330697,0.107,0.179,5.13448572450271e-07,"SOS1","T_cell"
"TRDC",2.22101122124813e-11,0.657524235742794,0.148,0.077,5.51921288480161e-07,"TRDC","T_cell"
"GPBP1",2.86192280028511e-11,0.518351818382857,0.575,0.497,7.1118781587085e-07,"GPBP1","T_cell"
"SLC5A3",2.89656740521839e-11,0.735495283691114,0.225,0.14,7.19797000196771e-07,"SLC5A3","T_cell"
"EIF3D",3.13591826755531e-11,-0.435779412813831,0.322,0.409,7.79275689487494e-07,"EIF3D","T_cell"
"AQP3",3.73063679681181e-11,-0.635881258868946,0.217,0.301,9.27063244007735e-07,"AQP3","T_cell"
"FAM162A",4.84027147190685e-11,-0.690161969326626,0.16,0.239,1.20280746076885e-06,"FAM162A","T_cell"
"PTP4A1",4.89856774845818e-11,0.823060741116346,0.274,0.187,1.21729408549186e-06,"PTP4A1","T_cell"
"KRT6B",5.13602986016486e-11,1.03235556083752,0.134,0.069,1.27630342025097e-06,"KRT6B","T_cell"
"MT-ATP8",5.60458326757092e-11,0.913218480903555,0.138,0.072,1.39273894199137e-06,"MT-ATP8","T_cell"
"IL2RB",5.61801862195199e-11,0.698743538011052,0.238,0.153,1.39607762755507e-06,"IL2RB","T_cell"
"NFKBIE",6.66930584763114e-11,0.676073686793339,0.192,0.113,1.65732250313634e-06,"NFKBIE","T_cell"
"GZMA",6.73268305120708e-11,0.5264130598446,0.496,0.405,1.67307173822496e-06,"GZMA","T_cell"
"MDFIC",7.66650561676327e-11,-0.719025601844304,0.194,0.275,1.90512664576567e-06,"MDFIC","T_cell"
"CEMIP2",7.8791326083616e-11,0.848754441276671,0.245,0.162,1.95796445317786e-06,"CEMIP2","T_cell"
"MYBL1",8.02076036753031e-11,-0.541801371700569,0.144,0.226,1.99315895133128e-06,"MYBL1","T_cell"
"KIF5C",8.13873888750994e-11,-0.860083444497627,0.059,0.118,2.02247661354622e-06,"KIF5C","T_cell"
"B4GALT1",9.96283279253997e-11,0.935955505397959,0.17,0.098,2.47576394894618e-06,"B4GALT1","T_cell"
"SARAF",1.1567634974348e-10,-0.255118136467209,0.668,0.752,2.87455729112548e-06,"SARAF","T_cell"
"NME3",1.19543092787458e-10,-0.615306236294738,0.23,0.315,2.97064585576832e-06,"NME3","T_cell"
"CRIP2",1.71647380827646e-10,-0.924792714937401,0.085,0.15,4.26543741356701e-06,"CRIP2","T_cell"
"TIGIT",1.99598299888068e-10,0.776432619601233,0.18,0.106,4.96001775221849e-06,"TIGIT","T_cell"
"SH2D1A",2.03972468027396e-10,0.682051848063636,0.257,0.17,5.06871583048079e-06,"SH2D1A","T_cell"
"NOP10",2.04052144439683e-10,0.649345765224634,0.362,0.272,5.07069578932613e-06,"NOP10","T_cell"
"ITGB2",2.10737109709345e-10,-0.444727424595478,0.371,0.462,5.23681717627721e-06,"ITGB2","T_cell"
"ATP5F1E",2.18157223410722e-10,0.260617720984498,0.861,0.857,5.42120700175644e-06,"ATP5F1E","T_cell"
"JMY",2.51827469664391e-10,0.918333438788121,0.157,0.088,6.25791262116013e-06,"JMY","T_cell"
"RNF19A",2.52073562476898e-10,0.61794215384181,0.4,0.308,6.26402802755092e-06,"RNF19A","T_cell"
"C16orf87",2.64319884256767e-10,0.77868689535956,0.164,0.093,6.56834912378066e-06,"C16orf87","T_cell"
"CCNG2",2.77258994882574e-10,1.09269927046572,0.116,0.057,6.88988602283197e-06,"CCNG2","T_cell"
"REL",2.88843996101799e-10,0.523169943868551,0.554,0.485,7.1777733031297e-06,"REL","T_cell"
"HIST1H2AC",2.91689892780429e-10,1.01860080795485,0.166,0.097,7.24849383559365e-06,"HIST1H2AC","T_cell"
"PPA1",2.97323204588854e-10,-0.431646133783998,0.337,0.424,7.38848163403303e-06,"PPA1","T_cell"
"SERPINH1",3.08480466510336e-10,0.885804867725633,0.178,0.108,7.66573959278185e-06,"SERPINH1","T_cell"
"SKAP1",3.31898311107333e-10,-0.548067927614973,0.273,0.354,8.24767303101723e-06,"SKAP1","T_cell"
"MCAM",3.85226158467464e-10,-0.942701452751903,0.112,0.18,9.57287003791647e-06,"MCAM","T_cell"
"CDC42SE2",3.93542457117203e-10,0.523677806853788,0.423,0.329,9.77953005936249e-06,"CDC42SE2","T_cell"
"STMN3",4.06391469377312e-10,-0.972198830001585,0.077,0.138,1.00988280140262e-05,"STMN3","T_cell"
"PRR5",4.95854024489534e-10,-0.822392305242459,0.08,0.143,1.23219725085649e-05,"PRR5","T_cell"
"TRA2A",5.01759199086131e-10,0.674653805778172,0.321,0.232,1.24687160972904e-05,"TRA2A","T_cell"
"CUTA",5.38829576947088e-10,-0.324663589093605,0.456,0.546,1.33899149871351e-05,"CUTA","T_cell"
"UNC93B1",5.91939685374347e-10,-0.936766933266827,0.054,0.108,1.47097011815525e-05,"UNC93B1","T_cell"
"JUNB",7.79721069479519e-10,-0.322737832197735,0.897,0.897,1.93760685765661e-05,"JUNB","T_cell"
"GBP1",8.16487134243106e-10,0.879721680347608,0.152,0.086,2.02897052859412e-05,"GBP1","T_cell"
"ITM2A",8.26886622361989e-10,-0.351577585379209,0.346,0.441,2.05481325656954e-05,"ITM2A","T_cell"
"METTL9",8.94564437128487e-10,-0.513216723247314,0.251,0.33,2.22299262626429e-05,"METTL9","T_cell"
"DYNLL1",9.09209460642739e-10,-0.323050074141505,0.549,0.634,2.25938550969721e-05,"DYNLL1","T_cell"
"ICOS",1.0225089074213e-09,0.78215629499137,0.267,0.188,2.54093463494193e-05,"ICOS","T_cell"
"LDLR",1.05003996533658e-09,0.81946359643693,0.138,0.076,2.60934931386139e-05,"LDLR","T_cell"
"NDUFB1",1.1330293787944e-09,0.555383057261071,0.346,0.258,2.81557800630408e-05,"NDUFB1","T_cell"
"UBE2Q1",1.14563569742895e-09,-0.917372019928986,0.087,0.148,2.84690470811095e-05,"UBE2Q1","T_cell"
"TNF",1.16130701624475e-09,-0.351523600315994,0.276,0.37,2.8858479353682e-05,"TNF","T_cell"
"PNRC2",1.16751583932981e-09,0.636084114928899,0.278,0.192,2.90127686073458e-05,"PNRC2","T_cell"
"LITAF",1.20725927272459e-09,0.521621959214582,0.305,0.216,3.00003929272059e-05,"LITAF","T_cell"
"RCAN3",1.2366230063346e-09,-0.6338999875811,0.19,0.265,3.07300817074148e-05,"RCAN3","T_cell"
"XCL2",1.26038222295877e-09,0.654173978111325,0.164,0.098,3.13204982405254e-05,"XCL2","T_cell"
"CCNI",1.28878155099359e-09,-0.257117389671445,0.586,0.665,3.20262215421908e-05,"CCNI","T_cell"
"DNAJA1",1.54131445163204e-09,0.439101038009298,0.691,0.633,3.83016641230562e-05,"DNAJA1","T_cell"
"CLU",1.64491423057492e-09,-0.545487825179583,0.079,0.139,4.08761186297867e-05,"CLU","T_cell"
"TMEM50A",1.65283659037066e-09,-0.311207740160755,0.347,0.439,4.10729892707109e-05,"TMEM50A","T_cell"
"CD48",1.69799783065289e-09,-0.265104930294354,0.638,0.723,4.21952460917243e-05,"CD48","T_cell"
