"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"ZNF493",0.000602029523788693,-0.271413987526325,0.113,0.08,1,"ZNF493","Keratinocyte"
"ARL14EP",0.000604346484756398,-0.527565201548868,0.17,0.126,1,"ARL14EP","Keratinocyte"
"GLUL",0.000659762068675836,-0.536519039547449,0.461,0.438,1,"GLUL","Keratinocyte"
"ACOT8",0.000684243501008993,-0.347926306413274,0.108,0.077,1,"ACOT8","Keratinocyte"
"ATPAF1",0.000688446791711036,-0.274905576087058,0.181,0.135,1,"ATPAF1","Keratinocyte"
"STAP2",0.000715081661488374,-0.511277745242268,0.359,0.358,1,"STAP2","Keratinocyte"
"ARV1",0.000718548420096924,-0.419685089557726,0.227,0.17,1,"ARV1","Keratinocyte"
"NDRG3",0.000735405628211306,-0.421197930693665,0.121,0.087,1,"NDRG3","Keratinocyte"
"TMSB4X",0.000759974153987924,0.32237835927474,0.957,0.959,1,"TMSB4X","Keratinocyte"
"ZBTB33",0.000809843313736623,-0.324090436386922,0.106,0.075,1,"ZBTB33","Keratinocyte"
"ZFAND1",0.000814552876867684,-0.755057161097073,0.29,0.29,1,"ZFAND1","Keratinocyte"
"LTA4H",0.00082331375364019,-0.670367748680776,0.287,0.293,1,"LTA4H","Keratinocyte"
"PEBP1",0.000829298419145169,-0.386127169730362,0.793,0.782,1,"PEBP1","Keratinocyte"
"C4orf33",0.000847776759835861,-0.251744501705278,0.107,0.076,1,"C4orf33","Keratinocyte"
"HSDL2",0.000878719205606987,-0.252271057505325,0.237,0.181,1,"HSDL2","Keratinocyte"
"DCXR",0.000884232500446848,-0.261261148773637,0.474,0.378,1,"DCXR","Keratinocyte"
"MRFAP1L1",0.000908473181818325,-0.320777198959714,0.221,0.168,1,"MRFAP1L1","Keratinocyte"
"RPAIN",0.000929257662963357,-0.278978929080679,0.391,0.299,1,"RPAIN","Keratinocyte"
"JADE1",0.000939384026616348,-0.31709006419386,0.144,0.108,1,"JADE1","Keratinocyte"
"TMEM267",0.000977306274373967,-0.301329344432816,0.11,0.079,1,"TMEM267","Keratinocyte"
"RIT1",0.000982459309275289,-0.334574177270026,0.252,0.19,1,"RIT1","Keratinocyte"
"FAM102A",0.00104576434055161,-0.415734396235463,0.264,0.203,1,"FAM102A","Keratinocyte"
"SENP7",0.00105961979687339,-0.353713630069713,0.105,0.076,1,"SENP7","Keratinocyte"
"SYNJ2BP",0.00106255525930633,-0.369381120961955,0.202,0.152,1,"SYNJ2BP","Keratinocyte"
"ELP5",0.00108933926130489,-0.67169136071914,0.219,0.233,1,"ELP5","Keratinocyte"
"MED28",0.00111901609253167,-0.695909937782185,0.322,0.315,1,"MED28","Keratinocyte"
"CALML3",0.00112050065159043,0.531374110576691,0.546,0.581,1,"CALML3","Keratinocyte"
"TEN1",0.0011254091719213,-0.281370735635875,0.331,0.254,1,"TEN1","Keratinocyte"
"FAM83D",0.00116535903550521,-0.745463193439759,0.105,0.13,1,"FAM83D","Keratinocyte"
"ANO1",0.00117920610408084,-0.409067684221136,0.161,0.122,1,"ANO1","Keratinocyte"
"TTC39C",0.00122986005501739,-0.614531588811265,0.284,0.283,1,"TTC39C","Keratinocyte"
"LHPP",0.00125174563647391,-0.260559942998432,0.135,0.1,1,"LHPP","Keratinocyte"
"TCAIM",0.00127878053805608,-0.559077530835259,0.125,0.091,1,"TCAIM","Keratinocyte"
"SMIM29",0.00131184920225215,-0.938661445193762,0.219,0.234,1,"SMIM29","Keratinocyte"
"THBD",0.00136283206639419,-0.529160379887126,0.426,0.429,1,"THBD","Keratinocyte"
"MITD1",0.00136719529518141,-0.370586187193061,0.254,0.194,1,"MITD1","Keratinocyte"
"HIP1",0.00138130307266767,-0.931268727704174,0.153,0.173,1,"HIP1","Keratinocyte"
