"ligand","receptor","pathway","sender","receiver","score_healing","score_nonhealing","delta"
"IL1B","IL1R1","IL1","Keratinocyte","Fibroblast",0.0331676484876582,0,0.0331676484876582
"CCL2","CCR2","CCL","Myeloid","Macrophage",0.0327296133934595,0,0.0327296133934595
"CCL2","CCR2","CCL","Keratinocyte","Macrophage",0.032603239418338,0,0.032603239418338
"VEGFA","KDR","VEGF","Melanocyte","Endothelial",0.0434358283999565,0.0109102142146177,0.0325256141853388
"TGFB1","TGFBR1","TGFb","Macrophage","Lymphatic_Endo",0.0152787380201221,0.0477930516908848,-0.0325143136707627
"TGFB1","TGFBR1","TGFb","T_cell","Lymphatic_Endo",0.0225730670102513,0.0547562607605415,-0.0321831937502902
"VEGFA","KDR","VEGF","Melanocyte","Lymphatic_Endo",0.0494040491478524,0.0179131113940654,0.031490937753787
"TNF","TNFRSF1A","TNF","Macrophage","Fibroblast",0.239939124250787,0.208899377547404,0.0310397467033827
"TGFB1","TGFBR1","TGFb","Keratinocyte","Melanocyte",0.0484085027583298,0.0174675635841274,0.0309409391742023
"VEGFA","KDR","VEGF","Myeloid","Smooth_Muscle",0,0.0307923498887737,-0.0307923498887737
"IL6","IL6R","IL6","Fibroblast","Keratinocyte",0.0306062960673659,0,0.0306062960673659
"HGF","MET","HGF","Macrophage","Endothelial",0,0.0305245651967631,-0.0305245651967631
"PDGFA","PDGFRA","PDGF","Fibroblast","Keratinocyte",0.0301597600890851,0,0.0301597600890851
"TGFB1","TGFBR1","TGFb","Fibroblast","Melanocyte",0.0760695873842033,0.0459452939973577,0.0301242933868456
"TGFB1","TGFBR1","TGFb","Melanocyte","Mast_cell",0.0296280588133476,0,0.0296280588133476
"HGF","MET","HGF","Melanocyte","Keratinocyte",0.0294960084261171,0,0.0294960084261171
"TGFB1","TGFBR1","TGFb","Fibroblast","Macrophage",0.0482021548862784,0.0776652997241519,-0.0294631448378735
"TNF","TNFRSF1A","TNF","Macrophage","Myeloid",0.119229359293144,0.0898512577637271,0.0293781015294172
"IL6","IL6R","IL6","Myeloid","Smooth_Muscle",0.0293419073554926,0,0.0293419073554926
"TGFB1","TGFBR1","TGFb","Endothelial","Melanocyte",0.0841138570753895,0.0548444607129996,0.0292693963623899
"FGF2","FGFR1","FGF","Keratinocyte","Fibroblast",0.0292442471103508,0,0.0292442471103508
"CCL2","CCR2","CCL","Keratinocyte","T_cell",0.01190068201172,0.0409176085821863,-0.0290169265704663
"PDGFA","PDGFRA","PDGF","Smooth_Muscle","Endothelial",0.0289396929889861,0,0.0289396929889861
"FGF2","FGFR1","FGF","Endothelial","Melanocyte",0.0288967252042015,0,0.0288967252042015
"IL6","IL6R","IL6","Macrophage","Macrophage",0.0287555640499224,0,0.0287555640499224
"PDGFA","PDGFRA","PDGF","Lymphatic_Endo","Keratinocyte",0.0286392682993414,0,0.0286392682993414
"PDGFA","PDGFRA","PDGF","Pericyte","Endothelial",0.0284093663350476,0,0.0284093663350476
