TF,diff_AS_vs_Control,pvalue,padj
ZIC1,-0.6820855021331673,1.975757133469241e-11,6.500326499725641e-11
IRF9,0.5890234517006647,2.034383355244892e-11,6.664359267181542e-11
MSX2,-0.49943732348891656,2.153366303440428e-11,7.023855753711268e-11
DACH1,0.7931908089848707,2.7039204056935304e-11,8.7819637107995e-11
ELF1,-0.5065853141749893,3.193901047440925e-11,1.0329211898106822e-10
TCF12,0.5519659119314486,4.722629334032646e-11,1.5144296598585698e-10
MITF,-0.7335298071630734,4.711572600550641e-11,1.5144296598585698e-10
HDGF,0.7374590532308022,6.199257528856262e-11,1.979594841147378e-10
SMARCA1,-0.6057070586024761,7.202806975318092e-11,2.290432343615795e-10
TBP,-0.767761358277399,9.226618472181905e-11,2.9217625161909367e-10
BTG2,-0.6409601485214946,9.476720296053203e-11,2.9885093049794336e-10
SRF,-1.1409051230847438,1.2620202000285115e-10,3.9633692232300366e-10
HSF2,-1.3796830414095282,1.4751753472190178e-10,4.6137171353352e-10
STAT5B,-0.6826650796168514,1.70257257222424e-10,5.303094897091896e-10
KLF12,-0.35939931636075806,1.7312468741908435e-10,5.370398466877718e-10
E4F1,-0.5667689545243517,2.357072578523315e-10,7.282012844218372e-10
NFYA,-0.7872598580377121,2.4291828019793777e-10,7.474408621475008e-10
NANOG,-0.4559944457223715,2.782289263957597e-10,8.526370325031345e-10
PRRX1,-0.4222593548658007,3.070043551323928e-10,9.370414052233674e-10
LHX8,-0.6568660102167398,3.093121933329803e-10,9.403090677322602e-10
TBXT,-0.4417548583874964,3.3178854627200136e-10,1.0006321236774645e-09
TAF1,-0.696998344348692,3.3079779521478265e-10,1.0006321236774645e-09
NKX2-1,-0.44378501158137407,3.536062258097079e-10,1.058034376438496e-09
PPARA,-0.5041496266563678,3.530127960125396e-10,1.058034376438496e-09
DMAP1,-0.7087518786599969,3.7256286183909074e-10,1.1103834313635647e-09
KMT2B,-0.3967187848029294,4.812006933650263e-10,1.4285645584274218e-09
STAT6,-0.676256678672629,5.245411869686838e-10,1.5511723816972751e-09
GATA2,-0.4330081278242297,5.7464343738884e-10,1.6927481101376683e-09
GFI1,0.37585791475461505,6.101208063461986e-10,1.790315879625911e-09
DLX4,-0.4635212018770982,7.576724293604332e-10,2.214734793515112e-09
CEBPD,-0.6670058893726616,1.3217311258253276e-09,3.848718987077582e-09
NKX3-1,-0.5404344518158569,1.335413728837277e-09,3.873719213421108e-09
SALL4,-0.5060041504581065,1.4694290934483154e-09,4.246258977265093e-09
ETV4,-0.5496244771642664,1.7360023093371555e-09,4.997582405667569e-09
KLF4,-0.6054097107726402,1.7453730286088193e-09,5.005598119783784e-09
PITX1,-0.5022106823163542,1.7686987021045734e-09,5.053424863155924e-09
ZFP42,0.6554456978873452,1.9504466806712944e-09,5.551833248352748e-09
DNMT3A,-0.43878994554583084,2.0491183397043277e-09,5.810932605131675e-09
TRPS1,-0.4272464293203567,2.41098938599877e-09,6.811717224383142e-09
ZBTB7B,0.6782978078945892,2.7815704790094136e-09,7.829605792767238e-09
MYRF,0.34309536331584717,2.8078258522143333e-09,7.87434556340551e-09
PEG3,-0.45028033904715004,3.281873364927093e-09,9.169940284355112e-09
ARID1A,-0.558543185186588,4.358960746270657e-09,1.2134835777163735e-08
SPIC,-0.2915193808037392,5.036218313805454e-09,1.3969072695226806e-08
SNAI1,0.6634643697635851,5.744095440652e-09,1.587459103598371e-08
KDM2A,-0.3676676638361153,5.882529601139246e-09,1.6198269916180532e-08
NRF1,-0.4939774064368998,6.1360983848244264e-09,1.6835504593742108e-08
CXXC1,0.4354575837602156,7.093513074707269e-09,1.9392337902077424e-08
MLXIP,-0.8517372089449395,8.669928042581679e-09,2.3617008288036116e-08
ZHX2,0.25443115472548705,9.100334925916893e-09,2.470090908463157e-08
MEIS1,-0.4562299117434454,1.014867527095053e-08,2.7448374398300368e-08
LYL1,0.5191003910049229,1.0521726524283545e-08,2.835642609381381e-08
SMAD1,-0.7328516624254459,1.2261915042845374e-08,3.292952449668722e-08
SATB2,0.4753036703426272,1.2788263824164142e-08,3.42221144590308e-08
RARB,-0.4702335009743688,1.4720262099765289e-08,3.925403226604077e-08
ETV5,-0.4517298596707537,1.497165387093501e-08,3.978481448220493e-08
FOXO3,-0.7475625387790501,1.7150162115697825e-08,4.5415063442266015e-08
ZMYND8,0.3901129555249826,1.7397712709971302e-08,4.591063076242427e-08
CREM,0.6071360355715023,1.751540443145262e-08,4.606127116921796e-08
POU4F2,-0.47916375703721004,2.2140010789870047e-08,5.802209724241805e-08
BCL6,-0.46866524172593926,3.9975016534473076e-08,1.0440210503848638e-07
FOXF1,-0.26754899774742225,4.52718407893299e-08,1.1783081849277646e-07
ZNF423,0.18724594719276744,4.839836426596525e-08,1.2553841925642864e-07
LMX1B,-0.5037826743071689,5.05483847036161e-08,1.3066929379166068e-07
PIAS1,0.4790684772407646,5.249037580881792e-08,1.352294427617004e-07
NFIA,-0.46658740588924447,5.698169337540736e-08,1.4630434785577568e-07
FOSL1,0.5481973774951269,6.044493489466998e-08,1.546739074745764e-07
RB1,-0.5223906614297372,6.872350197211693e-08,1.7526799160674116e-07
TP63,-0.5624555203406998,7.035371196289535e-08,1.7882548860133935e-07
KMT2A,-0.5258111873247997,7.09359517193223e-08,1.7970441102228315e-07
HEY2,-0.31378998226539156,7.729459206435813e-08,1.9516242514588763e-07
TEAD4,-0.5892016247975311,7.955561579283286e-08,2.0020618543891714e-07
AHRR,0.3126325086368807,8.240910996550263e-08,2.0670271806528713e-07
NPAS2,-0.4468275600156932,8.862945802151712e-08,2.215736450537928e-07
POU2F2,-0.3622991405961383,8.894284814237072e-08,2.216280806170549e-07
HR,-0.33900527869202246,9.771226049458238e-08,2.42684045672819e-07
ZBTB16,0.3815850452844167,1.0556723247670976e-07,2.613390771410405e-07
ONECUT1,0.406067646492131,1.2364116071763216e-07,3.0508857839415727e-07
NFE2L3,0.664400989455732,1.3007866751772824e-07,3.19934586774995e-07
FOXP3,-0.3349841029112177,1.4348643253801714e-07,3.5177318944804205e-07
SMAD4,-0.6465883892434876,1.4713462569704034e-07,3.595572846615777e-07
NFATC1,-0.5420895416288531,1.5101528791399333e-07,3.678577526110094e-07
TBX6,-0.21434174064262196,1.5163574465683609e-07,3.681890285597298e-07
EGR2,-0.4157023616080945,1.587254857742285e-07,3.8417633499494796e-07
MNT,0.3924989465094987,1.6692062580591024e-07,4.0272912892854533e-07
ZFP64,0.25246306196193063,1.760482844421411e-07,4.23407266379833e-07
HDAC3,0.4495780232746809,2.2325588806346237e-07,5.352507095527804e-07
IRX1,0.49649890123849405,2.2973987907319704e-07,5.490638619359426e-07
MYT1,0.3757899483331024,2.5322962504059126e-07,6.03305689751879e-07
MBD2,-0.4391415012546458,2.7099777064643986e-07,6.436197052852948e-07
CEBPA,-0.38102100175841047,3.424333792832507e-07,8.107456954992851e-07
ZFPM2,0.46826502965162886,4.3471959399999664e-07,1.0260462467080667e-06
TOX3,-0.601232297523145,4.6938485872589133e-07,1.1044349617079796e-06
GRHL3,-0.28012533621004143,6.3991199176999e-07,1.5010281288431864e-06
MECOM,-0.4056029891698196,6.489015667502523e-07,1.5174313560928978e-06
RORC,-0.3512651916392134,6.820988193528602e-07,1.5901690267121894e-06
NR2E1,-0.3623235274716794,8.099177640667999e-07,1.8823776779534188e-06
MSX1,0.2611206732697979,8.247455087413465e-07,1.9109956909860465e-06
USF2,-0.4588435253848382,8.579867195636187e-07,1.981975400815654e-06
HDAC4,-0.4185126699895393,9.007546679301112e-07,2.074465295839044e-06
HDAC9,0.6348313693900494,9.462710562760493e-07,2.1727069570084514e-06
GSC,0.27645523397680927,9.98851502195162e-07,2.2865275351455517e-06
KLF17,0.49293995799120915,1.0125043471928351e-06,2.310820732331996e-06
GATA6,-0.31974227162138924,1.0213543214724615e-06,2.3240397734103916e-06
ZBTB18,0.7429922606519512,1.0593752291248495e-06,2.4033587287608528e-06
BMAL2,-0.5749519017053819,1.150473549995371e-06,2.602261601180006e-06
LHX4,0.152014829370808,1.324116709875312e-06,2.986138574199517e-06
SIX4,-0.5130609321911783,1.4934596058128241e-06,3.3580748533069417e-06
RFX1,-0.4417705982986089,1.5250382725889504e-06,3.418964858901482e-06
ZFPM1,0.3377775515132239,1.6502290797251413e-06,3.688747354679728e-06
HIVEP1,-0.42651198428149717,1.782176590731856e-06,3.972006477877451e-06
MYB,0.4731283032746725,1.8476288162584812e-06,4.105841813907736e-06
TFCP2,-0.36561116651514025,1.9060339396670874e-06,4.22328219867926e-06
NPM1,-0.38828729374589344,2.1065400548818755e-06,4.6539838421808876e-06
ERG,0.5097726565934273,2.1162297019120595e-06,4.661839343342507e-06
CTCF,-0.3768677718903397,2.269732208378483e-06,4.985538954819789e-06
TSC22D1,0.6127015472514228,2.3106546783970157e-06,5.060799871993464e-06
SOX11,0.23908489736813482,2.4492136499221724e-06,5.348857396381756e-06
POU5F1,-0.41460377811110594,2.594622543414276e-06,5.65018089683338e-06
PROP1,-0.2611677639749199,2.9727151996844015e-06,6.4550387193147e-06
HDAC7,0.5051276350007546,3.0197464953863506e-06,6.538482440152782e-06
SETBP1,0.17754045030388227,3.039875029712678e-06,6.563366541425101e-06
ZFX,-0.5853358353393048,3.3088821336835095e-06,7.123938871386592e-06
ZNF148,-0.34308060339475394,3.585003712234408e-06,7.69661813926031e-06
ASCL2,-0.36807842244417105,3.675150956736483e-06,7.867928808787963e-06
ZNF217,0.28048140219983997,3.937289638566089e-06,8.405449790197268e-06
MKX,0.223490677805326,4.27590058734257e-06,9.102757552886144e-06
EP300,-0.3587971279081319,4.49690331575712e-06,9.546498659149193e-06
NFE2L1,0.30704064158872907,4.564295516835264e-06,9.662575467394987e-06
FHL2,-0.43592603215955084,4.581453284699155e-06,9.671956934364883e-06
