TF,diff_AS_vs_Control,pvalue,padj
TEAD4,-0.34760474124111906,1.0424228430026133e-47,2.270032552097381e-47
IRF6,-0.32234779246639955,4.440591735891084e-47,9.642427769363497e-47
ENO1,-0.44502590461518743,4.483017515759243e-47,9.706818552641096e-47
YBX1,-0.4005746392073565,5.204030871489179e-47,1.1235975745260726e-46
HTATIP2,0.3939987400718785,7.415046348510545e-47,1.5964405736170013e-46
ELK4,0.6366566413016308,7.658686672415001e-47,1.644237816676667e-46
ASCL2,0.28056166977909514,8.884701231000296e-47,1.9020768832564014e-46
DAXX,0.3901230345481381,9.170253123161225e-47,1.957694486967003e-46
FOXF1,-0.1417137353022533,9.264978976889427e-47,1.972376476872819e-46
E2F6,0.22943406116903514,2.224318955205328e-46,4.722017893731981e-46
MEOX1,-0.19443486835764548,5.333871432730495e-46,1.129176125034868e-45
NPM1,-0.32707923706633135,1.3924743606040602e-45,2.939668094608572e-45
SOX11,0.17984672430646031,1.895224136583176e-45,3.989945550701424e-45
ZNF384,0.28516340980055543,5.2208632886510123e-45,1.0960928451311518e-44
KCNIP3,-0.1409448738409177,1.5495953277341786e-44,3.2443318156418063e-44
ZBTB33,-0.330537690680066,2.886551156258706e-44,6.026865051529167e-44
ZGPAT,-0.22060151740365963,5.29413306811477e-44,1.1023400361006097e-43
PGR,-0.43066335161842195,9.498680931097075e-44,1.972403690610322e-43
NR4A3,-0.228877999638046,1.0329049117659944e-43,2.1389856483437488e-43
KLF9,0.3434431534505582,1.4831052166463597e-43,3.0629346865522647e-43
ATF5,-0.3987526576063818,1.869610547499616e-43,3.850688390514114e-43
POU2F3,-0.24510149331111453,5.1895434197438555e-43,1.0659602700014405e-42
SIX4,-0.4099101202092488,7.33769346579222e-43,1.5031393622647135e-42
BCOR,0.016974500136610726,8.418285560931945e-43,1.7198647920183542e-42
KLF5,0.2955545834424045,1.5850884010256926e-42,3.229670736674333e-42
EWSR1,-0.24753094002877324,1.6466839442756397e-42,3.346202667511995e-42
ZFX,0.32707868011257446,1.939842293098782e-42,3.931413714013532e-42
POU3F2,0.21346266993352597,2.147154924013059e-42,4.339993995345545e-42
DLX4,-0.24372611666697663,2.6425490103056307e-42,5.3271545035338975e-42
HMGA2,0.34220337648139587,2.9621319885371825e-42,5.955609289122378e-42
CDX1,-0.2206550807518844,3.105428501017591e-42,6.227244487528678e-42
NFATC1,-0.3578918354130711,5.121623023361608e-42,1.0243246046723216e-41
DMTF1,-0.5069912646605355,6.613983404496359e-42,1.3193247736003238e-41
ZHX2,0.14478137512908945,1.811762763034625e-41,3.6045541882364266e-41
MECOM,0.25993059860274426,4.0010621989902694e-41,7.93944457240889e-41
PITX2,-0.2290642998793897,4.0447782227267086e-41,8.005290232479944e-41
IRF2,-0.32149846856393627,4.763468476845408e-41,9.40321049974678e-41
POU4F3,-0.214782093929533,5.59158269390245e-41,1.1009333801465963e-40
SUPT20H,0.08881650668334284,5.616036610385027e-41,1.1028909105665686e-40
SALL3,-0.21591685168916103,5.772200953989148e-41,1.1306373002659155e-40
NKX3-2,0.07104381697643253,6.78044826227005e-41,1.3247148275900356e-40
AHRR,0.14135050129219434,8.136969426445123e-41,1.5856658369482803e-40
TBX3,0.20203991939727817,8.2183673283722e-41,1.5974320126759265e-40
RARG,0.316827663047305,1.0567382106041404e-40,2.0487781634161902e-40
HSF2,-0.6913189744029848,1.4515142568482412e-40,2.8069995806734434e-40
HOXD13,0.20866158762572506,5.7879604709589046e-40,1.1164593801849665e-39
SP3,0.2904069175008692,7.374849380332991e-40,1.4189583617855881e-39
BTG2,-0.3721892803801905,1.564693801221957e-39,3.002947699314867e-39
ZNF436,-0.23143673205973905,5.254274925340985e-39,1.0058561569922289e-38
PEG3,-0.20059826643265966,2.931700552713531e-38,5.598222160960511e-38
NKX6-3,0.26981706664295835,3.154561725384121e-38,6.008689000731659e-38
KLF12,-0.1766725241580787,5.624525502528008e-38,1.0686598454803216e-37
MESP2,0.029908553554694406,1.036639005284809e-37,1.9647023541557475e-37
PBRM1,-0.3298127286657673,2.1640965601214814e-37,4.091326830080413e-37
HAND1,0.10636024196120075,3.054111052133399e-37,5.759613894842142e-37
SP4,-0.3046670633498971,7.740365554929198e-37,1.456108371719354e-36
HOXB3,0.15955463545011278,1.1068006947423725e-36,2.0769593284054394e-36
IRF4,0.2439998829400533,1.7926968990623963e-36,3.355787298737491e-36
NOTO,0.18422015749174725,4.108502047122074e-36,7.671895714527705e-36
FOXH1,0.16889498939908681,1.2844438862127373e-35,2.3925915527492167e-35
NSD2,-0.3133777989453641,3.392913916100309e-35,6.304681115492017e-35
HOXB4,0.151987732391469,1.6586388665694852e-34,3.074550094128802e-34
ATOH7,0.056027852001746536,1.7915562975516593e-34,3.31285349425611e-34
AIP,-0.32288188255938977,2.131540061279274e-34,3.9319671033307e-34
NFKBIZ,-0.2674524393775779,3.918307925053359e-34,7.210445576369378e-34
NEUROG3,0.17253036782292286,1.630359830396745e-33,2.992931089617213e-33
BCL11B,-0.2360859751627918,2.237829693440341e-33,4.098194137384721e-33
HINFP,-0.28851489523501583,3.04527932315033e-33,5.5634910711400254e-33
NR6A1,0.1455345455569731,3.288494296697001e-33,5.993418862085661e-33
E2F1,-0.365337376402342,3.589292586884013e-33,6.525986521607295e-33
HOXD1,0.21292838104391887,6.510926954053775e-33,1.1809795907114246e-32
FEZF2,0.22328862254700121,7.899378711570317e-33,1.4294113859032e-32
HDAC4,-0.26157790440005435,1.2496266643747296e-32,2.2558581114603193e-32
ONECUT1,-0.18478429241274003,1.7507528843611242e-32,3.1530146732570015e-32
E2F2,-0.27172844527466067,4.386979476954753e-32,7.882043504694118e-32
PRRX1,-0.1981273027858832,4.4295834196792177e-32,7.939819337160862e-32
NR3C1,-0.3379838071851502,6.442774176774353e-32,1.1521196174937667e-31
FOXM1,-0.24878666388180545,1.2017236647670331e-31,2.1388992628172015e-31
HOXA1,-0.26834369698952387,1.2010686238672967e-31,2.1388992628172015e-31
ZXDC,0.19938693885901138,2.8457415535335706e-31,5.053185936181107e-31
PLAG1,0.2936615972250911,3.8007578366244793e-31,6.733277286327749e-31
SHOX2,0.04612767882560975,4.173331687450444e-31,7.376121122005436e-31
RARA,-0.25059807693828606,7.198167930256457e-31,1.2692825120637834e-30
HOXB1,-0.2399881575021628,1.3435561756196538e-30,2.3636636422938355e-30
MKX,0.130731583584132,2.159792153995383e-30,3.790859207936468e-30
ZBTB16,0.19797663168156535,9.38072329482266e-30,1.6427073050841525e-29
ZBED1,-0.3356716112562568,1.3110275231184973e-29,2.2905308449886392e-29
MAFA,0.2269377194568358,1.4584290251997414e-29,2.5422157319995493e-29
FOXD1,-0.29242328955531144,8.800067225395998e-29,1.5304464739819128e-28
WWTR1,-0.18916702544617217,3.133879352126505e-28,5.437781524237772e-28
NR1I3,-0.20095923736312837,4.331817534476875e-28,7.499274091577279e-28
EHF,-0.1690889549812197,9.15596241093833e-28,1.5814844164348024e-27
CEBPA,-0.20687240567199117,1.3837922038285962e-27,2.3847666097726374e-27
PRDM16,0.12043242885193883,1.5050762078782856e-27,2.587913841600672e-27
KAT2B,-0.21474877966365974,3.2007200805394162e-27,5.491077339074394e-27
KAT6B,0.1670179366303752,4.396357834915726e-27,7.525297194900792e-27
NCOA6,0.31330937653666746,1.6600932183612608e-26,2.8352153841675467e-26
NR4A1,0.17465152901644287,3.502165085891983e-26,5.967814944569298e-26
GLIS3,0.058429958048912475,3.83666910085366e-26,6.523195786686312e-26
POU2F1,-0.18731176980370193,5.411924256409607e-26,9.180942934980583e-26
ZNF24,-0.26164698885852045,5.460596055689261e-26,9.242879737915007e-26
ZNF160,0.11363459605772208,6.826868040946345e-26,1.152982158026494e-25
SOX5,0.1604020000584352,1.097804584699127e-25,1.84995894539099e-25
TBP,-0.27253867784802743,1.8024235675313374e-25,3.030623697619063e-25
FEZF1,0.08543689596149245,3.410574947373775e-25,5.7219358940487175e-25
EGR2,-0.27330778415085955,7.129060808548259e-25,1.1934110604618231e-24
NEUROD6,-0.21514009901071907,1.6635433942979153e-24,2.7786658893767374e-24
MAFG,-0.177920617736556,2.789266509815067e-24,4.648777516358445e-24
CRX,0.1436312349283615,4.732110496628423e-24,7.86959294844114e-24
STAT6,-0.28982320552306406,5.045940436535125e-24,8.373176270232958e-24
EN1,-0.19000859951676335,1.5377121778172837e-23,2.5461029523772015e-23
RCOR2,-0.24928269979006124,2.0343882515971733e-23,3.361163198290982e-23
ETV1,-0.15209579960298908,2.1500826860632048e-23,3.544604862056476e-23
HOXA13,0.05161266152876248,2.2674312357469954e-23,3.729973461401984e-23
NFIB,-0.22972142814561713,3.5867454374511166e-23,5.887530307695138e-23
TBX6,-0.11442836853881033,4.794121686670279e-23,7.852440693684077e-23
LHX4,0.04894175272287027,5.594004332934302e-23,9.142888802215203e-23
FGF2,0.25682658180431095,1.0393911904969886e-22,1.6951444308534577e-22
NR3C2,-0.22815659058930005,1.0612384376336052e-22,1.7270689777334904e-22
HIVEP1,-0.26641834018820143,1.7856544566107606e-22,2.8997807415046538e-22
NFE2L1,-0.2154206017189463,1.9340085601011374e-22,3.1340010782022695e-22
ETS1,-0.3468243133918083,3.4627603578385687e-22,5.59935717437726e-22
CIITA,-0.32906271556457867,4.170391127960021e-22,6.729293539808102e-22
ESRRG,-0.2527039645457161,4.254877604706501e-22,6.85107410927318e-22
RXRG,-0.11007922964991969,7.804669598347467e-22,1.2540272504744345e-21
ETS2,-0.27284700103178894,9.218172222369085e-22,1.4780191748946211e-21
STAT4,0.18873699825817555,1.5540931309969716e-21,2.4865490095951547e-21
PLAGL2,0.15776779319090134,3.947323909153443e-21,6.3024499389844885e-21
PKNOX1,0.1403954988204027,4.0378317627922325e-21,6.4334426409268274e-21
TBXT,0.1807958761047319,6.0602922602318095e-21,9.63561112505476e-21
MYCN,-0.17270563628950392,8.080794135299096e-21,1.2821301759555977e-20
LHX3,0.14523652382785388,1.0154524019681109e-20,1.607799636449509e-20
ETV2,0.09839340617478154,1.3075778411485754e-20,2.0660273581557532e-20
POU2AF1,-0.2179591414958152,2.802599119653097e-20,4.4190359562994896e-20
SOX6,0.1593857028114129,3.2814491223643734e-20,5.16335679709508e-20
ZBTB7A,-0.20354389374011128,3.531912307331376e-20,5.545978003247615e-20
LYL1,0.18755316976831143,4.599364236676109e-20,7.207251174997614e-20
NR2F1,0.13540173831769886,7.508319746435774e-20,1.1741405364796683e-19
ELF1,-0.17229975453058072,8.532260978635251e-20,1.3315232738732628e-19
MED1,0.14310148605803164,1.1266378498467562e-19,1.7545999300892106e-19
HOXD3,0.14338622292901215,1.3418459142275027e-19,2.0854864924599226e-19
ZNF143,0.15813989520561034,1.7435509506877714e-19,2.7042831071891965e-19
ZNF331,-0.18915482253630866,1.7531545349074614e-19,2.713640420630694e-19
STOX1,-0.0013285802995078866,3.2617074460456473e-19,5.0384098760054715e-19
SMAD2,-0.21512286970077277,4.757752578517869e-19,7.334466449642151e-19
MAFB,0.1350337560814311,1.1110538009402552e-18,1.709313539908085e-18
ZKSCAN7,-0.1850574055625912,1.251858823667162e-18,1.9220458706808953e-18
BCL6,0.17411051873979783,1.9827375062503853e-18,3.0380655337707516e-18
MZF1,-0.10481160367815961,3.2216868512920817e-18,4.926523152881252e-18
HCFC1,-0.1797199894834347,3.638124423399338e-18,5.552157754585334e-18
ID4,-0.1717113301966246,3.655343716548875e-18,5.5672569630804505e-18
CREB3L3,-0.1455438243673876,3.7539411623743144e-18,5.705990566808958e-18
MTF2,-0.062100350128295304,5.894737257744773e-18,8.942116398974106e-18
PPARGC1A,0.16950480292885173,5.929176600244542e-18,8.976442661724804e-18
SRF,0.3021901420852542,7.654433007084021e-18,1.1565346094202497e-17
SATB2,0.17644887567171186,1.1677108673501119e-17,1.7608338475914387e-17
MYOD1,0.16087083541033564,1.3436852681822726e-17,2.022179809541638e-17
KLF7,-0.10489988977555806,1.5530819954030628e-17,2.3326923251113197e-17
NKX6-1,-0.1546269998849099,2.4461108775098982e-17,3.6667539781213464e-17
PREB,0.08484814276750186,3.556499061670823e-17,5.3207466276965065e-17
KDM5D,-0.18350782109753677,6.391191139058553e-17,9.542839421777013e-17
SRY,-0.16882923897065294,6.452598043696392e-17,9.615636300410309e-17
HNF4G,0.05243065431181104,1.1253431475823702e-16,1.6737001803573412e-16
IKZF3,0.03659953848890546,1.3546823915718585e-16,2.0108566749894775e-16
NOTCH1,-0.18081535533045057,2.4618085908185454e-16,3.6471238382496967e-16
ZNF354C,0.19743754580633038,2.8476786631662274e-16,4.210575455265239e-16
IKZF4,0.1334847785630851,3.351811456471157e-16,4.946362537705008e-16
FOXN4,-0.152437677100228,7.362761222359069e-16,1.0844376994172272e-15
SMAD4,0.1775368407002922,9.6017719861042e-16,1.411479054050134e-15
CTCFL,0.1628891929275339,1.0665217190003656e-15,1.564780900463857e-15
TBX21,0.11579062583517319,1.305073938769273e-15,1.911090931531113e-15
LHX8,-0.2032908145530321,1.52419488994078e-15,2.227669454528832e-15
ATF6,-0.37668265051697514,1.6917838947630983e-15,2.4678613436083586e-15
HNF1B,-0.15450753660847202,2.759589836771149e-15,4.0177936320806e-15
UBTF,-0.12873119079947173,3.699184876409096e-15,5.375488539332529e-15
FOXL2,-0.17599516329911014,3.8539813971669844e-15,5.5897440111582214e-15
RORC,-0.16384730810538217,4.1577325021457476e-15,6.018812765010987e-15
HOXB13,-0.18571262407429853,5.167538066352865e-15,7.466404810699957e-15
ZNF236,-0.09850453543615378,6.062180258882711e-15,8.742423143739773e-15
MLXIPL,0.1300745403767053,6.870607475701307e-15,9.889510760479153e-15
HOXD4,-0.11007463272417603,8.847078105293895e-15,1.2710357958456256e-14
NR0B1,0.11692053921583659,1.2962782174266998e-14,1.8588140476307396e-14
HEY1,-0.1583703305911474,1.0638273570259249e-13,1.5226154262517947e-13
STAT5B,-0.25433510599751497,3.7851174392920155e-13,5.407310627560023e-13
SON,0.05788084807584282,5.03337913951095e-13,7.17705093063475e-13
ZNF382,0.32790427341195194,7.225254710336682e-13,1.028313404467393e-12
DACH1,0.20774808252095323,1.5736951192593509e-12,2.235529515209545e-12
EGR3,-0.11340283890109068,2.3035861339107556e-12,3.2662788465898775e-12
SOX7,0.02886931544895588,3.03693513472005e-12,4.298083244668972e-12
PPARA,-0.16322707228269173,3.655648113484505e-12,5.1641125766695604e-12
HOXB7,-0.12118592564054664,4.657528009368239e-12,6.567200903747424e-12
RXRB,-0.1554296673591281,4.731032152241464e-12,6.658489695747246e-12
SPDEF,-0.16708727357133668,5.418632517320387e-12,7.61212701139278e-12
VSX2,0.09273772787251827,6.037864563710442e-12,8.466378355018333e-12
MAF,-0.09053228412422698,7.292191010452328e-12,1.0206381524758323e-11
EGR4,-0.08279315214319216,1.2219738278394818e-11,1.7071693183051584e-11
TAF1,-0.24005292383414512,1.4070765598559824e-11,1.9621618082395354e-11
GTF2I,0.1405348313318031,1.4775315345909467e-11,2.0566373008958233e-11
ZNF219,0.074761491582642,1.5206173775099702e-11,2.1127407804526095e-11
XBP1,-0.2750768286359544,1.8734365239225705e-11,2.5981966390167034e-11
POU2F2,0.1172262659535082,3.7948881635240895e-11,5.2533970934031115e-11
SMARCA4,-0.19067384755816663,4.3349585946883855e-11,5.990124603569405e-11
SATB1,0.17826734332248978,5.5719196094165934e-11,7.685406357815992e-11
FOXP1,0.08528865546878567,1.126835995224386e-10,1.5514408629900965e-10
GBX2,-0.17271846783443845,2.906204736987941e-10,3.994060759694096e-10
NCOR1,-0.09061153607724412,3.252708876564156e-10,4.462199902867795e-10
KMT2A,-0.1902878510651802,3.607799924714809e-10,4.940410707717576e-10
NR1D2,0.002142331127359287,4.355864672158862e-10,5.954059623814271e-10
CREM,0.15795870961519531,4.440112557972366e-10,6.058322341219027e-10
TFDP1,-0.15713613255137618,4.575416313499223e-10,6.231749817669193e-10
NPAS2,-0.08870149613233755,5.062591183816875e-10,6.882950446691995e-10
PATZ1,0.12591919872920204,5.168059890535557e-10,7.013795565726827e-10
ZBTB32,0.043470976434512754,5.725383292845662e-10,7.756312482286458e-10
NFE2,0.06051607842217077,1.250546304490369e-09,1.6911302338303923e-09
NFAT5,-0.20761226723340842,1.8209734329231109e-09,2.458152413892654e-09
PROP1,-0.09811123980433156,2.1162837881600746e-09,2.851729927307902e-09
HDAC3,-0.1241769706731024,2.7299855621531946e-09,3.672192968560049e-09
NEUROD2,0.10121116468636643,6.1561219905254094e-09,8.266170870670162e-09
JARID2,0.09138225022067026,7.694071675834152e-09,1.0313041399707153e-08
PPARGC1B,0.08897431131224068,1.0496896529487035e-08,1.4045143243679835e-08
GATA5,-0.10977648828959213,2.499438625493298e-08,3.338441749340785e-08
EMX2,0.038421860523220275,2.5188954981477296e-08,3.3585273308636396e-08
NFYB,0.197475500084495,3.3035610174394714e-08,4.397033928640978e-08
PTF1A,0.05495599402520707,4.183563831699415e-08,5.558581314845376e-08
SOX18,0.02791981123791276,4.9437005001826997e-08,6.557089668654191e-08
PAX4,-0.04664409190799457,7.25326579522248e-08,9.603627185311994e-08
PDX1,0.08701715811724897,7.924598255407327e-08,1.0474251607147077e-07
ZNF410,0.07755798851719925,8.1269956193863e-08,1.072311922002359e-07
TCF12,-0.13552626344401641,8.476799436823843e-08,1.1165281753875426e-07
HOXD10,0.1190695729445784,1.018957849365043e-07,1.3398061687152813e-07
TRIM28,-0.12477704326376515,1.4520302420776486e-07,1.905946431742682e-07
RORA,-0.07940734953549297,1.4600585477812294e-07,1.9131801660581625e-07
ARID3B,0.11601905593663911,1.6458556469086998e-07,2.1529264916533767e-07
SOX3,0.09721480562091,1.8516459841261881e-07,2.417956955216328e-07
MECP2,-0.07713523513999043,1.9288129616122884e-07,2.5144045468702216e-07
FEV,-0.09763325374821974,2.00399264072748e-07,2.607935628343981e-07
THRA,0.06979369391182466,2.2393545409962844e-07,2.909246925055002e-07
NFATC4,0.10240004458538471,2.856818316290531e-07,3.70508860133243e-07
ZNF76,0.14925653822185414,3.0093490378327475e-07,3.8962611052008315e-07
NR1H4,0.0986899046124711,3.949477198974141e-07,5.104766447653652e-07
SREBF1,-0.11917642748840973,4.557500518519478e-07,5.880645830347713e-07
ZNF395,0.04705596346484375,7.141469524707817e-07,9.199181082674476e-07
HOXC8,-0.07251453564815134,7.462621634208643e-07,9.596603116748847e-07
EZH2,0.08241490618177827,1.347385979376684e-06,1.729752270821419e-06
SMARCB1,0.12149055649852547,1.4554922427921095e-06,1.8653863482664471e-06
SMARCC1,0.11536204195555642,1.5606226618896373e-06,1.996756267737583e-06
HIVEP2,0.11864109136264789,1.5941414916765364e-06,2.0362143423095256e-06
ETV6,0.056227603088194016,1.759065117094853e-06,2.2431031694498127e-06
TADA2A,-0.06314081381780343,2.5518453657408146e-06,3.2485803650971843e-06
NCOA2,-0.09641876276747309,2.61232577347102e-06,3.3200126886922663e-06
BHLHE40,-0.07160150294912526,3.1087100587781144e-06,3.944273196446355e-06
E2F5,-0.16262128929800856,3.87638200197358e-06,4.910083869166534e-06
HLX,-0.09460501864822968,5.649360555478216e-06,7.143950120072287e-06
SMAD6,0.07882835705419466,6.322716166670158e-06,7.982166589151695e-06
LEF1,0.12828255045725712,1.300770103487185e-05,1.639444906551013e-05
EOMES,-0.025223820625042248,1.4169559150250397e-05,1.782924661289785e-05
NR5A2,0.058365304685449815,1.7318005513219675e-05,2.1754849900904054e-05
GSC,0.0676164194731082,1.774478752595359e-05,2.2254188976443446e-05
NR1H3,-0.09079874269079757,1.9435384725413073e-05,2.433425435142329e-05
MSC,-0.019566280070338227,1.9709723082143576e-05,2.463715385267947e-05
DBP,0.06463806033226777,2.1699194640167922e-05,2.707945472336227e-05
TRERF1,-0.06978343590474012,2.51168120419098e-05,3.1293077298117126e-05
SOX2,0.08346073429098921,2.6752338446559865e-05,3.32762311282905e-05
DNMT3B,-0.0752104101850295,2.720507064908908e-05,3.3784074662267485e-05
SP2,0.06115896520289743,3.1307148200391565e-05,3.881473512609721e-05
SIN3A,0.0697421124632294,4.609258012652446e-05,5.705270504260357e-05
KLF10,0.07968261915973496,5.2470784729050415e-05,6.48419453562249e-05
ZMYND8,0.07376433353776114,6.981667750449825e-05,8.613745925879654e-05
STAT2,-0.22322526528776399,7.525477408900857e-05,9.269631816474314e-05
SMAD1,-0.17878992099432667,9.710130572218965e-05,0.00011941260897874455
GLI3,-0.08688346214458309,0.00010128101489562931,0.00012435148840174196
ETV5,-0.03107125208219924,0.00011487113479648676,0.00014080977813762894
FOXO6,0.06343877268481024,0.00013215738992964268,0.00016173851263531148
EBF1,-0.03750968727349058,0.0001353874884378829,0.00016542522703021063
GABPA,-0.04866223710201445,0.00015190785739607605,0.00018531295605299806
OLIG2,-0.05493516655722,0.00019668439223047415,0.00023955150335762878
DLX3,0.05550090688022152,0.00022398215526566774,0.000272362300803052
FOXC2,0.05685158355635156,0.0002340263613725799,0.00028412146109131105
ASXL1,-0.11090967532628437,0.00023998639625374924,0.0002908926015196961
ZNF423,0.02363644684291133,0.0002672725494527781,0.000323450856025655
CTCF,0.03592827648067032,0.0002699575370482098,0.0003261808078801899
POU4F1,0.04366529492915672,0.00027916463910893525,0.0003367700408298266
ZBTB4,-0.11207484898050524,0.0003333568679818078,0.0004015074796611314
PHOX2B,0.09143008626849955,0.00036162523384449094,0.0004348657875345144
TBX5,0.0806255434346752,0.00040002665427753346,0.0004802847665891397
HIVEP3,0.00850272208708075,0.0005474926719086652,0.0006563003638021854
ELF2,0.07786633005994603,0.0005893478222225849,0.0007053611730538024
NRG1,0.03172442590861091,0.0005952106152524187,0.0007112579679116952
HBP1,0.03206349316653068,0.000668050157667339,0.0007970457140144076
KLF2,0.06119796148374018,0.0009213148208097344,0.0010974910091150441
ID1,-0.04390776098496274,0.0009380004319507064,0.0011156186671088214
HEYL,-0.1073365833467288,0.001033036076317564,0.0012248165647446936
LRRFIP1,0.07974321956753946,0.0010316139835076284,0.0012248165647446936
TBX2,0.06048244181265083,0.0011236973529609338,0.0013302336265581147
HOXC13,-0.08297434617882285,0.0011446778885425555,0.001352962978681714
TFAP2D,-0.05449587945361822,0.0012167305151030458,0.001435893154469433
NKX2-2,0.06368563568018559,0.0013109944495433394,0.0015447376459735472
KMT2B,0.041035427921270684,0.0016872956089195696,0.001985053657552435
SIX3,-0.024676834131408185,0.0016929520006795896,0.0019886298616947264
HNF4A,0.05954362537898983,0.0017210623603638123,0.0020185299288217554
CHD4,-0.04714098339538453,0.0017550075712411447,0.002055170653533544
E2F7,0.05012038346885776,0.001820519133228184,0.002128606986543723
PAX3,0.06291709699853354,0.0019257744320460583,0.0022482159268126024
RARB,-0.07385291631073154,0.0020123414944769372,0.0023456741346663686
SMAD9,-0.12614917942083625,0.002066302190529131,0.0024048846321625414
ZNF362,0.06334710284809175,0.002570346059825439,0.002986946491540266
FOXO3,-0.028786973349690825,0.002879016674513053,0.0033405384314960616
MYT1,-0.03477430916648798,0.002929053700535507,0.0033934158725716238
NFIA,0.08178428944719418,0.0038570758532870683,0.004461762022067233
MYF5,-0.03271784535248773,0.0040241347252529015,0.004647936764729795
MYBL1,-0.05187277614992991,0.004587999287967018,0.005291167615864846
SIRT1,0.03855821853590877,0.004622651024931118,0.005323052695375227
BATF,0.06971331301487926,0.00501630857381141,0.005767616514518415
SSRP1,-0.10557931086499028,0.006259395495778707,0.007186012955878878
NFYC,0.0869489327583115,0.006998759872808285,0.008022711166416736
