TF,diff_AS_vs_Control,pvalue,padj
EZH2,0.36869103536914194,1.8115789651611267e-08,4.22331292491551e-08
TCF15,-0.12991711090709257,2.249382199421342e-08,5.2279219313768196e-08
ARID4A,-0.10368607534134484,2.5709534666154127e-08,5.957087300694249e-08
NRL,0.20870090153623588,2.6831094625060817e-08,6.198064411868152e-08
RFX1,0.37246247263157883,2.8769537641422555e-08,6.625711699236709e-08
CREM,-0.3883191409452049,3.2223099912180546e-08,7.398657381648705e-08
PBX2,0.42619990929686,3.5663550227566846e-08,8.163945232816507e-08
TP73,-0.3321657980997741,4.522978445307497e-08,1.0322713568869963e-07
DEAF1,-0.3626616543721961,4.900165650450082e-08,1.1150077527970246e-07
KAT6A,0.35163120187387387,5.254240838893658e-08,1.1920068768833373e-07
SOX5,0.24455516766573226,5.704720152856192e-08,1.2903533679079482e-07
STAT3,0.6032405783103583,6.271074896042318e-08,1.4142483445080599e-07
RUNX3,-0.25993377259678563,6.628301233832514e-08,1.490387259678317e-07
FOXA3,0.284613483679278,6.797120494676624e-08,1.5238382229953492e-07
LEF1,-0.33765577504779304,8.275038733690992e-08,1.8497145404721042e-07
ZBTB32,-0.08565838796697578,8.67703713974967e-08,1.9338851103254397e-07
ZNF362,-0.4145643175040279,8.80786658938815e-08,1.9573036865307e-07
NEUROG1,-0.10118803015795208,9.234882223722275e-08,2.0462129708539152e-07
FOXH1,-0.2586263940465803,1.327162109008967e-07,2.93210233385702e-07
IRF9,-0.2617948460584554,1.3353514317682866e-07,2.9416437337504286e-07
RARA,0.38437598529533723,1.7849024351351787e-07,3.92059494422756e-07
HESX1,0.30580121124573234,2.128731263012289e-07,4.6623508930528523e-07
NFIA,-0.38957842139086696,2.1625094563939265e-07,4.7227218013200696e-07
NKX3-2,0.0023578685084952866,2.2154893995877145e-07,4.824561443228262e-07
MYT1,0.3455899525509059,2.3168272399704687e-07,5.030824863935875e-07
IKZF4,-0.34275695191925004,2.4967563719916624e-07,5.4060821729734e-07
ESRRG,0.27455012660777234,2.548403982575169e-07,5.502235871469115e-07
NFE2,-0.06308508925627199,2.693383710535306e-07,5.798786458942869e-07
KLF11,0.2900237910039873,2.7489534908060124e-07,5.901708059357541e-07
TAL1,0.25423096435821824,2.795546754371698e-07,5.984832488232367e-07
HDAC4,0.38467528685521013,2.8634337880690606e-07,6.112948536327208e-07
CTBP1,0.19577723195949848,2.950533689607884e-07,6.281248190761882e-07
HOXB2,0.3216943476033524,3.7146144453800115e-07,7.863807739523144e-07
POU5F1,0.28737849243686897,3.705795308981086e-07,7.863807739523144e-07
ETV2,-0.005846097691243446,3.831122680780264e-07,8.087925659425002e-07
ZNF699,0.28167724756588636,4.162595523763072e-07,8.763358997395942e-07
RREB1,-0.04527809058754841,4.553785828394994e-07,9.560434335856893e-07
TFE3,-0.45866182708434877,4.933669660137548e-07,1.0329446120398173e-06
MYOG,0.33763973814287906,5.458042858563808e-07,1.1395913660737623e-06
PLAGL1,0.3199144021948815,5.760174898314869e-07,1.1993788829367947e-06
NR2E1,-0.28099097138112583,5.868995128687259e-07,1.2186984420224908e-06
CEBPE,-0.2631551946225641,6.229245666725805e-07,1.2899800290767336e-06
HSF1,0.7201626732585469,6.273003533829409e-07,1.2955115993778127e-06
TTF1,0.3193579082618041,6.324428855476382e-07,1.3025923929978456e-06
SUPT20H,-0.052381276572784186,6.603069686712087e-07,1.3563062059192395e-06
TFCP2,0.32341132572525044,6.98222102655101e-07,1.4303202102907728e-06
HMGA1,0.37307262837817956,7.297175002735548e-07,1.4908206994836065e-06
KDM5C,-0.2304429549516735,7.36520362717078e-07,1.5006849213538318e-06
KLF9,0.3539395201037361,8.599710552051302e-07,1.747534764587965e-06
LHX3,0.22992224072205536,8.68940756734379e-07,1.7610532669816748e-06
NFYC,0.656846235326435,8.974263217584702e-07,1.8139468205756312e-06
TBX15,0.30270462109498075,9.472740440612114e-07,1.909624067603503e-06
ATF6,0.43881195581927823,1.0089940331366368e-06,2.0286652518091113e-06
KAT6B,0.24347718818362238,1.0562937421860763e-06,2.118161593829599e-06
CEBPZ,0.4135266322362814,1.1107874207945848e-06,2.2215748415891696e-06
EGR4,-0.3425862901258694,1.173318891596864e-06,2.3404786289071306e-06
IRX1,-0.3007171443965204,1.3417717828798175e-06,2.669493599446757e-06
HOXA5,0.3745406497330128,1.4231783546879718e-06,2.8240614871092918e-06
KDM2A,0.313721183273986,1.521295789703454e-06,3.010897917121419e-06
ETV1,0.21554273881960917,1.5825405792708655e-06,3.122912741629191e-06
E2F1,0.31773984536320576,1.5861109450906155e-06,3.122912741629191e-06
TBX5,-0.22102943603225045,1.8252963743054196e-06,3.584561355225114e-06
CREB3L1,0.37339455370757557,1.9850584124379162e-06,3.888258746012413e-06
CTBP2,0.21097270722237868,2.02083850743268e-06,3.9481677780175755e-06
ZNF423,0.014279077011565222,2.054944389305877e-06,4.004507015057607e-06
NHLH2,-0.31341457387235805,2.2765386782833567e-06,4.42498566622852e-06
PHOX2B,0.3322957739681347,2.294307420193126e-06,4.448147039149938e-06
SIX1,0.22652642997513364,2.3536328652355458e-06,4.551554650328282e-06
E4F1,0.35539248439066895,2.646610890530607e-06,5.105137758383912e-06
ELK1,0.5026284875368143,3.2579415990294657e-06,6.268444595600997e-06
MYBL1,0.3122384841545873,3.362980358109738e-06,6.454204727685356e-06
HDAC9,-0.33003448498889365,3.626115947994924e-06,6.941682923113708e-06
NR5A2,0.2329506501065458,3.7670266448776945e-06,7.193317211324241e-06
E2F2,0.21075114822822794,4.226527198930801e-06,8.05052799796343e-06
NRF1,0.25943159089854084,4.9748010015614235e-06,9.452121902966705e-06
ATOH1,-0.0478649107627348,5.351766455405027e-06,1.014299876834868e-05
MSC,-0.23270528531897813,6.861894119525691e-06,1.2972735151342104e-05
PHOX2A,0.2576217788950986,6.994154658832186e-06,1.3189969083653749e-05
NFX1,0.3734780529483106,7.312310618420326e-06,1.3755831856434277e-05
KLF13,-0.2453465677521578,7.358876011896258e-06,1.3809248812447297e-05
HES1,0.4241660155340208,7.444983362962453e-06,1.393642205874745e-05
SFPQ,0.3154526745180899,7.620097186405489e-06,1.4229174107292803e-05
SKIL,-0.3707866765816368,8.33439689186307e-06,1.552485695543121e-05
ZHX2,0.024801127963082203,8.728858214027962e-06,1.621988323389059e-05
HOXB7,0.27177068424139234,9.46246340381633e-06,1.7540176065610758e-05
RFX5,-0.3032561845646853,1.029759323089559e-05,1.8995560328836525e-05
WWTR1,-0.12707650270714319,1.0286866558485805e-05,1.8995560328836525e-05
NR2E3,-0.3470358361807855,1.0427149344897797e-05,1.918797458140999e-05
HOXC13,-0.044491452214571195,1.1473422735596967e-05,2.1062321930081388e-05
SPI1,0.28878370300914336,1.2645548445327346e-05,2.3158112815539236e-05
POU2F3,-0.24224789382207496,1.3647787677505043e-05,2.4933458256980367e-05
NKX2-2,0.21363731812463949,1.3945732266486557e-05,2.5416682308224902e-05
UBTF,0.27117576720181125,1.523187171642915e-05,2.7694312211689362e-05
SMARCB1,-0.4603660759263487,1.5515015366853643e-05,2.8141793982837157e-05
NFYB,0.4752979900256298,1.69557469389928e-05,3.0681827794367924e-05
ZFP64,0.13914813663499606,1.9231161853733066e-05,3.47165867193281e-05
ETV6,0.2509588282609776,1.940716855821392e-05,3.495129882521939e-05
MECP2,-0.2733941519456211,1.9545122196843817e-05,3.511653160662246e-05
GFI1,0.244158669113278,2.1861483759677414e-05,3.9185678437157634e-05
HINFP,0.29072297040158157,2.237308241211531e-05,4.0008335607547375e-05
RFX3,-0.020109870755642245,2.364307217090854e-05,4.218012875561148e-05
TEAD2,0.31553360825055865,2.3929133979732718e-05,4.2590496076339265e-05
IKZF1,-0.1645040422342634,2.4145838212726544e-05,4.2875787480542463e-05
SREBF1,0.2297139463410378,2.4807209602867e-05,4.394750419155925e-05
HOXA10,0.25700790231617304,2.7464601973011437e-05,4.854208720811324e-05
HCFC1,-0.1520085219797459,2.7822121431258717e-05,4.905988929873927e-05
BCL11A,0.26276397348485436,3.161795584573791e-05,5.562418158046485e-05
POU4F2,0.23056026294327725,3.679433037510404e-05,6.458127271380847e-05
PAX8,0.23130186527017466,3.7266318073727904e-05,6.525899017519172e-05
MBD1,-0.26300927754326997,4.0615727894214416e-05,7.096081195311025e-05
ZNF335,-0.22809111868553972,4.339753124538027e-05,7.564707281304818e-05
CEBPB,0.31378179343856827,4.39495268182535e-05,7.643395968391913e-05
SIM2,-0.23941979769093708,4.4638050376818895e-05,7.745415133877251e-05
NR6A1,0.024435117497244918,4.7449845458298585e-05,8.214551833327319e-05
RUNX1,0.2545263834386928,4.946456478239317e-05,8.543879371504274e-05
PREB,-0.1364229860869587,5.028323240024698e-05,8.665591071244379e-05
TEAD1,-0.22499329060199957,5.436345005761084e-05,9.347561548367475e-05
PARK7,-0.25526111365762977,6.157425404529609e-05,0.00010563528910705424
PLAGL2,0.2257340447935336,6.513750376242012e-05,0.0001114966280618002
TCF21,0.4828708049108905,7.265104136394969e-05,0.00012379998079955552
SMARCA5,-0.24873160286034257,7.251363735803629e-05,0.00012379998079955552
TP63,-0.27194991559160764,7.54513850564506e-05,0.0001282842341004529
FGF2,0.11314314746249475,7.747202788850488e-05,0.00013142576159657078
ATF3,0.31230640099673845,8.151431336882327e-05,0.00013797522975569196
ETV7,-0.21803751931712534,9.311650101656589e-05,0.00015726342393908906
DMTF1,0.6233820461164363,0.00010050939548693462,0.00016937281722853727
EHF,-0.04427709765968929,0.00010905790083821484,0.0001833716916748745
NR0B2,0.22528551118514506,0.00011078647699853368,0.00018586693712778276
TCF3,0.27030423417592586,0.00011202217494664907,0.0001875261078402055
HDGF,0.2763076429880176,0.00013038697993724346,0.0002177892412138572
USF1,0.2507917406816942,0.00015266759044470183,0.00025444598407450305
PURA,-0.2991147662598169,0.0001567364942556985,0.0002603225766226943
TFEB,0.04159472697748512,0.00015687860538578157,0.0002603225766226943
MAFG,-0.21179464754221594,0.00019823740843539987,0.0003282362318320346
ATF1,0.4179178579965708,0.00021441721687265428,0.00035425453222438536
ETV4,-0.2445891928818269,0.00022099434764437956,0.0003643290763768513
IKZF2,0.04052569981601739,0.0002322417401735639,0.00038204268946300554
FOXF2,-0.343403596433382,0.00023368484456203615,0.0003835863539247246
FOSL1,-0.23973597077604358,0.0002481482438635304,0.0004064497097764722
MYBL2,0.30108608818554583,0.0002527818928290351,0.00041314890010767027
NFAT5,0.28111162194043615,0.0002632168246472651,0.0004292806582230075
DLX4,0.18794497487446038,0.00028233236657432633,0.0004594702325406596
AHRR,-0.02993226257139639,0.00028431384340078146,0.00046170624142007245
ZXDC,0.27345970906952966,0.00028605831658444643,0.0004635486580046467
SOX6,0.21541567396410058,0.0003203352183422048,0.0005168890996604579
DLX2,-0.16204300592982357,0.0003197799345431976,0.0005168890996604579
TBX3,-0.15551815320917894,0.0003374195099490252,0.0005433026007653796
BACH1,0.23169614388426762,0.0003438946008892325,0.0005525579210905215
ZBTB16,0.24521212245787427,0.0003462778633256993,0.0005552134517458469
GRHL3,0.12893970672661265,0.00036183809745235534,0.0005789409559237685
GTF2IRD1,0.0319139219546245,0.0003761082888076888,0.0006005090325500915
KMT2B,0.17387299043539736,0.0003879014009697093,0.0006180399680020526
ZNF219,0.21264384131578062,0.00039561585400424025,0.0006290126549021393
HOXD3,0.2830998879230926,0.00040278445407707504,0.0006390734553206201
GLI3,0.233336401013454,0.00042829430032818676,0.0006781326421862957
VHL,0.3313809539050905,0.0004729875510861453,0.0007473399975581506
BCOR,0.006333922809159717,0.0005781225106863532,0.0009115624649826316
MED1,0.17457191305184905,0.0005805382187608506,0.0009134762862489575
KDM5D,0.31384665320179933,0.0005992070560328501,0.0009409036417044754
SALL1,0.003262601376494867,0.0006112842119124591,0.0009578886619659152
NR3C1,-0.22942475884518398,0.0006293032643110944,0.0009840956396634398
MEOX2,-0.2090769737407584,0.0006334907037653881,0.0009886097225086138
SALL4,-0.1664476982091821,0.0006624409636275837,0.0010316703531904991
SP1,0.3037870630973769,0.0007916310614644066,0.001230346843993761
NFKBIB,-0.218092520565223,0.0009857791577794158,0.0015289635916578693
SREBF2,-0.1413177582986802,0.0010269181037967294,0.0015895270038401516
FOXA2,0.14770751553801997,0.00104515015182479,0.0016144595841195944
TFDP2,-0.09014074230161816,0.0010877060684071967,0.0016767882596135284
CREB1,0.3193682742803725,0.00109291909327686,0.0016814139896567076
MYCN,0.2500975690440678,0.001122006098497663,0.001722676030016614
BACH2,0.12346276424607935,0.0012329428347087848,0.001889186601569912
TBX21,0.1410929110566116,0.0012387959210285377,0.0018943358148524924
PRDM16,0.08267801794463847,0.001269447741735559,0.0019373098066647085
TBX20,-0.0076843181039396025,0.0013433600288340238,0.002045999242312341
ZNF804A,0.014270558542776868,0.0013486374530374272,0.002049928928616889
ZBTB17,0.26641093191140397,0.001404667788421558,0.002130833371657453
ZBTB33,0.1865150914479193,0.0014662603435035525,0.0022198363766189238
HOXD10,0.31377991445197495,0.001524403630814884,0.002303273875585113
