"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
2.90366287756157,3.02634666959572,13.6280394606522,4.49672609507613e-12,1.54711073559521e-09,17.8071490002903,"FOXM1"
2.50463083322639,2.65915107321713,13.6228746246445,4.52994876078515e-12,1.54711073559521e-09,17.7999430843207,"CCNA2"
3.72038594773976,2.73105002834251,13.5896271318375,4.75002193808645e-12,1.5910746561075e-09,17.75349773648,"SPOCD1"
6.92593242727006,3.60369812546897,13.5533155727158,5.00314151078514e-12,1.64423997801614e-09,17.7026553531788,"CXCL5"
-2.23140087368398,2.48603621470123,-13.5032997944374,5.37500177685489e-12,1.73373668424553e-09,17.632424556206,"KLF8"
2.27407134392578,2.20275396392956,13.4190618522033,6.06774134908831e-12,1.92159852397127e-09,17.5136128763408,"CDCA8"
-2.77922844003356,2.33710070270764,-13.3407870037993,6.79492920329996e-12,2.11346565826926e-09,17.4026150016525,"SERPINA5"
1.61457811272255,6.17935948054182,13.30906897302,7.11491333676816e-12,2.17416772806715e-09,17.3574725202773,"COLGALT1"
-2.09319741808118,1.48200746273397,-13.2639538062558,7.59732358528134e-12,2.28155486566259e-09,17.2930982911722,"SLC17A7"
3.18320631456945,2.40634153193395,13.2485958882199,7.76921118522532e-12,2.29362915973313e-09,17.271140120522,"KIF20A"
3.43527310902876,4.33731676727147,13.2301154746086,7.98142654807979e-12,2.31473685074972e-09,17.2446877156596,"TK1"
3.94121396544644,2.07054895543844,13.2194620610792,8.1064960325946e-12,2.31473685074972e-09,17.2294238695023,"PTPRN"
1.56754282089574,2.93728020892635,13.1892387334414,8.47254003883404e-12,2.38023713542599e-09,17.186061843363,"CENPO"
1.51568909124916,0.851162794581422,13.0769771815868,9.98993157074544e-12,2.76197822379752e-09,17.0242293946757,"HMGA2"
1.5905368920149,7.59115903166211,13.0207099002343,1.08544034784683e-11,2.9540937466869e-09,16.9426580039961,"AP2S1"
2.30537597736735,5.07087312084195,12.9685142914872,1.17260206803459e-11,3.14221274169638e-09,16.8667138455359,"KPNA2"
1.63036119534631,5.01812141168298,12.9477228735805,1.20932268801031e-11,3.1915125120854e-09,16.8363883653338,"HYOU1"
1.96387091257586,2.57404601402284,12.9119470510205,1.2753356255739e-11,3.31549192929048e-09,16.7841080549789,"LZTS1"
-1.38767984133823,2.54945289355918,-12.8548236036831,1.38862162089961e-11,3.55691344012198e-09,16.7003707343089,"PAXIP1-DT"
1.76803157231388,2.65709099064897,12.8341215824496,1.43222078384988e-11,3.615423422188e-09,16.6699440817253,"SLC2A6"
-2.8649990851326,3.29496125178924,-12.8140893067231,1.47576681734484e-11,3.67212948921606e-09,16.6404613781254,"TPRG1"
-2.20214414285405,1.57794354995764,-12.802887205785,1.50071638626217e-11,3.68161662195979e-09,16.6239572205664,"MAPT"
2.56398448870388,3.39237854519771,12.7603334296693,1.59956540576079e-11,3.86961531076966e-09,16.5611486489784,"PLK1"
1.78096374269504,1.41650250546065,12.7438333465221,1.63969554376826e-11,3.91235849059665e-09,16.5367462990801,"EXO1"
-6.59567349312757,4.42574490988485,-12.7123880852454,1.71910155761484e-11,3.98300488505581e-09,16.4901658738726,"PI16"
1.54912993696492,8.8163225703998,12.7062391567762,1.73509110009034e-11,3.98300488505581e-09,16.4810457905289,"P4HB"
-1.84196733279852,1.11207592218481,-12.7051629766879,1.73790544990379e-11,3.98300488505581e-09,16.4794492120067,"CNKSR2"
4.74635665671286,2.79211829463533,12.6597925494731,1.86098236568043e-11,4.20968712278204e-09,16.4120336954582,"LINC01614"
1.5480689787565,1.03077177245187,12.6328905879601,1.93821118565281e-11,4.32817467073086e-09,16.3719625377595,"SGO1"
-1.59319220152605,3.994208572356,-12.6124194316777,1.99920877152086e-11,4.4078757446013e-09,16.3414213229585,"PPOX"
1.63864742518568,1.16380424901812,12.5130337644313,2.32504583103974e-11,5.06220603563127e-09,16.1925429920687,"CDC25A"
-1.48921345857338,1.09406275962015,-12.4754568838928,2.46223064770868e-11,5.29470782985059e-09,16.1359913941517,"LINC01287"
-7.07732300977551,6.31012021754201,-12.4564963921747,2.53462205695897e-11,5.38390816928187e-09,16.1074018428447,"CXCL14"
1.48613064315181,9.74386654211956,12.414066626438,2.70475582068315e-11,5.67607673309146e-09,16.0432905660629,"CFL1"
1.73374524021762,7.16082876230003,12.3913752455342,2.80057795540539e-11,5.80719843181561e-09,16.0089279500707,"GSTO1"
2.0038527553488,2.18850246613911,12.3664598780569,2.90986986233828e-11,5.96283685437743e-09,15.9711362814636,"ARHGAP11A"
-1.69422159280279,4.5264190201477,-12.3478394357853,2.99444005585376e-11,6.06478568521638e-09,15.9428508778856,"TMEM159"
2.01175078552272,1.89610152706352,12.3109094519355,3.16981884503087e-11,6.2462301440083e-09,15.8866460840117,"KIF11"
2.46748601777454,2.16485182544546,12.297436301834,3.23643345931312e-11,6.2462301440083e-09,15.8661056647394,"SPC24"
3.15313109006683,3.05172618551761,12.2970437591096,3.23839597795568e-11,6.2462301440083e-09,15.8655069328678,"BIRC5"
1.29560892164173,7.02417605419511,12.2924679814428,3.26136411869189e-11,6.2462301440083e-09,15.8585264746008,"RPN2"
2.1589587714021,3.65259581741563,12.2900644962953,3.27349623595682e-11,6.2462301440083e-09,15.8548590278111,"MTFP1"
1.3988304834728,8.62477674169008,12.2850044759149,3.29919148724747e-11,6.2462301440083e-09,15.8471360428839,"TUBB"
-2.93066919620823,1.86170039117639,-12.273503495269,3.35837789027081e-11,6.28991678416527e-09,15.8295724597828,"PGM5-AS1"
1.38976375751452,2.15323814106081,12.249697789394,3.48442250373809e-11,6.45656076277766e-09,15.7931740423341,"ZNF697"
1.80009939793336,1.26157030575972,12.233992412902,3.57026368504873e-11,6.49704035823411e-09,15.7691284522824,"CDCA2"
-1.51381395685643,1.97889244142837,-12.2159083616948,3.67183677713396e-11,6.49704035823411e-09,15.7414090475435,"CAPS2"
1.44338036252037,8.58954293150028,12.2028448391642,3.74707751393432e-11,6.49704035823411e-09,15.7213638417831,"TPI1"
-2.97500891001422,5.03052311814948,-12.2011158137273,3.75715551592203e-11,6.49704035823411e-09,15.7187094129686,"ECHDC2"
-2.36923702081469,2.50319588511114,-12.1980478659325,3.77510716681152e-11,6.49704035823411e-09,15.7139986760133,"FN3K"
3.80917372084875,2.12641897410988,12.192942586372,3.80517796707185e-11,6.49704035823411e-09,15.7061574906632,"CCL7"
2.41001996185249,2.90305108895532,12.1925308222503,3.8076141459767e-11,6.49704035823411e-09,15.7055249439892,"ASF1B"
3.15793567250799,3.08803067107611,12.1833025566512,3.86264032821956e-11,6.49704035823411e-09,15.6913439307899,"PCLAF"
