,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CDKL5,123.10294279910829,0.8596873627030475,0.16139540748183956,5.3265912340150114,1.0007302565272994e-07,1.1248952117861059e-05
SEMA5A,2753.8511698565185,1.5555308849375435,0.2921653519636028,5.324145640415731,1.014286192014588e-07,1.1248952117861059e-05
BIN2,5.823231517458531,3.175590277186193,0.5963544682082104,5.325004584483924,1.0095049344379855e-07,1.1248952117861059e-05
S100A8,76.84116617851969,5.1235152481139155,0.9620844268857416,5.325432056621774,1.0071335753195142e-07,1.1248952117861059e-05
STX7,567.6990495513375,0.8388631420468944,0.15760055506762424,5.322716926263043,1.0222876290512131e-07,1.1255534953481254e-05
RIMS1,23.364990147626227,2.2761145648149745,0.4283989204690018,5.313072596735617,1.0779206986935323e-07,1.1782681363992468e-05
RAB11FIP1,317.99054172780484,-2.871888965114528,0.5414180656260766,-5.3043833359966985,1.1305451763934552e-07,1.2122914068504022e-05
COTL1,653.210519749622,-1.2074713248347597,0.2276533759855304,-5.303990417921614,1.1329826232246749e-07,1.2122914068504022e-05
RIMKLB,497.0346213590671,-2.0580053221645773,0.38783488717346976,-5.3063955570455885,1.1181417916304024e-07,1.2122914068504022e-05
CARHSP1,767.2556259089065,-1.4280901981812795,0.269650478860058,-5.296078850734856,1.1831576423909205e-07,1.2483956401727531e-05
NAB1,145.46107721787095,0.5071027124678585,0.09573715431589624,5.296822493747957,1.1783513985177587e-07,1.2483956401727531e-05
PAEP,5786.3745568434215,-5.761774129659754,1.088489264181293,-5.293367899217151,1.200839947968945e-07,1.2583146323751828e-05
CXCL8,1385.5670154382713,-3.521641151192782,0.6657186189459937,-5.289984463358497,1.22326750648007e-07,1.2643759519359309e-05
EIF4A3,907.7357333391916,-0.9621203628167648,0.18184084673925338,-5.291002434653067,1.2164774672680036e-07,1.2643759519359309e-05
TUNAR,85.9758215985385,-3.3389762003428096,0.631343616628526,-5.288682917510858,1.2320024670512206e-07,1.2648003705659626e-05
ZFAND2A,407.0693340546466,-1.495407414511686,0.28325565108849005,-5.2793559767127665,1.2963873062068694e-07,1.313153915367145e-05
SLC25A19,107.45559487789232,-2.1536754501012965,0.4078875218597728,-5.280071918556279,1.2913318967558288e-07,1.313153915367145e-05
EGFL6,86.67427629207918,1.687411781361663,0.3198913843467874,5.274952261710107,1.327906500313437e-07,1.3361729381299578e-05
KLF15,47.240551787316406,-1.6121517488757824,0.3060434459340657,-5.267721855488145,1.3812717977850863e-07,1.3540028190675228e-05
PMEPA1,1009.7420286420335,1.0224666196752803,0.19407456223062383,5.268421620656584,1.3760177202340957e-07,1.3540028190675228e-05
CACNA1H,115.41405463289352,1.123894138506974,0.213320868853318,5.2685616018176695,1.3749690163954692e-07,1.3540028190675228e-05
PTCHD1,57.48057572351697,2.8655198294083664,0.543881749954217,5.268644939179483,1.3743450409203575e-07,1.3540028190675228e-05
GPR160,25.803922832769533,-2.345856014797877,0.44556747612714437,-5.2648726410373765,1.402865750584527e-07,1.3663552701526476e-05
TMEM106B,757.7694182769293,0.6233059192930461,0.11879968130500665,5.246696897214469,1.548503433070715e-07,1.498596252361557e-05
ZNF362,193.4410164019956,0.7035878741599386,0.13420527915108768,5.24262442290249,1.5830856866989886e-07,1.5223673369433185e-05
ZBTB8A,592.227582404987,1.2114925944960115,0.2312165159244702,5.239645574850548,1.6088528956503793e-07,1.5374157796548342e-05
FAM167B,21.753385956784566,-2.1638710066304983,0.4147720647974296,-5.2170124033963345,1.8183208809769433e-07,1.7159979792275575e-05
GLIPR1L2,33.86660413966154,1.7444574899395975,0.33434957809363336,5.217465802965867,1.813876986605536e-07,1.7159979792275575e-05
SNRPG,1457.3387800870514,-1.2243016647296276,0.23481020657649354,-5.214005313396758,1.8480617058839006e-07,1.733299355506172e-05
RASGRP2,257.33513996015614,-3.215486264324864,0.618151692288181,-5.201775396621921,1.973936945888835e-07,1.8345447061254063e-05
CDK6,464.9747853472783,1.5278122777120406,0.29374279664922476,5.201190616893627,1.9801588245660567e-07,1.8345447061254063e-05
VCAN,8969.055835259436,-1.1977731777299534,0.23051648884060322,-5.1960412192387055,2.035771384188104e-07,1.8746369946275182e-05
TMC5,29.272956306209235,-3.209679715842767,0.6181286181897206,-5.192575818998285,2.0740436283521637e-07,1.8983746318784805e-05
NEURL1B,53.38710526630641,1.7656595652633467,0.3406222888786526,5.183628972361132,2.1760962561843097e-07,1.9798566776325992e-05
RASEF,30.90065653359507,-3.2531776233547203,0.6284433002774215,-5.176565048777877,2.2600827614644844e-07,2.0360475230585446e-05
SHC3,39.1946613088129,1.2903985877832076,0.24929517314533584,5.176187615276939,2.2646573081275113e-07,2.0360475230585446e-05
RPL35,17832.247718910425,-1.0448649332795146,0.20199135691624653,-5.172820011861974,2.3058711001526224e-07,2.060906205630526e-05
