gene,score,evidence,n_evidence_types
ID1,17.948074240679208,DEG_in_4ct(maxLFC=1.95); TF_diff_4ct,2
VEGFA,17.52809137928248,DEG_in_3ct(maxLFC=3.53); stem_DEG_CD133plus_progenitor; comm_ligand; known_stem_gene,4
EGR1,17.500329103866804,DEG_in_3ct(maxLFC=1.50); TF_diff_5ct,2
OSTC,17.430397351903235,DEG_in_6ct(maxLFC=2.43); stem_DEG_CD133plus_progenitor,2
PLCG2,17.402133725990048,DEG_in_4ct(maxLFC=3.40); stem_DEG_CD133plus_progenitor; stem_DEG_Basalis_fibroblast,3
AGR2,17,DEG_in_6ct(maxLFC=5.79),1
MT1F,16.969357147356185,DEG_in_5ct(maxLFC=3.97); stem_DEG_CD133plus_progenitor,2
SKIL,16.941627729701572,DEG_in_3ct(maxLFC=0.94); TF_diff_5ct,2
GDF15,16.64970095505534,DEG_in_5ct(maxLFC=3.65); stem_DEG_CD133plus_progenitor,2
MGST1,16.624667032215093,DEG_in_5ct(maxLFC=3.62); stem_DEG_CD133plus_progenitor,2
NUPR1,16.447281298895156,DEG_in_4ct(maxLFC=2.45); TF_diff_3ct,2
MAPK10,16.30211661166657,DEG_in_5ct(maxLFC=3.30); stem_DEG_Basalis_fibroblast,2
CLDN10,16,DEG_in_4ct(maxLFC=5.21); stem_DEG_CD133plus_progenitor,2
MT1X,16,DEG_in_4ct(maxLFC=6.44); stem_DEG_CD133plus_progenitor,2
MT1M,16,DEG_in_4ct(maxLFC=5.86); stem_DEG_CD133plus_progenitor,2
FOSL1,15.945677550888906,DEG_in_2ct(maxLFC=1.95); TF_diff_5ct,2
CRYAB,15.8268553200264,DEG_in_4ct(maxLFC=4.83); stem_DEG_CD133plus_progenitor,2
PTN,15.797572387063752,DEG_in_5ct(maxLFC=2.80); stem_DEG_CD133plus_progenitor,2
GPNMB,15.509215040345412,DEG_in_6ct(maxLFC=3.51),1
MT2A,15.496962782081791,DEG_in_4ct(maxLFC=4.50); stem_DEG_CD133plus_progenitor,2
PLAUR,15.444999409457242,DEG_in_5ct(maxLFC=2.44); comm_receptor,2
HOPX,15.356113526885594,DEG_in_1ct(maxLFC=3.36); TF_diff_5ct,2
ID3,15.2752178727545,DEG_in_3ct(maxLFC=1.28); TF_diff_4ct,2
RARA,15.141125580005472,DEG_in_2ct(maxLFC=1.14); TF_diff_5ct,2
NR4A1,15.135992819848006,DEG_in_2ct(maxLFC=1.14); TF_diff_5ct,2
MT1E,15.109135838909229,DEG_in_4ct(maxLFC=4.11); stem_DEG_CD133plus_progenitor,2
LIF,15.085812969635123,DEG_in_4ct(maxLFC=4.09); stem_DEG_CD133plus_progenitor,2
RPL39,15.047322934249745,DEG_in_5ct(maxLFC=2.05); stem_DEG_CD133plus_progenitor,2
S100A8,15,DEG_in_5ct(maxLFC=6.15),1
SP1,14.99963486196844,DEG_in_2ct(maxLFC=1.00); TF_diff_5ct,2
HIF1A,14.96590760792719,DEG_in_2ct(maxLFC=0.97); TF_diff_5ct,2
CREB1,14.944558990472624,DEG_in_3ct(maxLFC=0.94); TF_diff_4ct,2
COL3A1,14.901455752789863,DEG_in_2ct(maxLFC=2.90); stem_DEG_CD133plus_progenitor; comm_ligand; fibrosis_gene,4
REST,14.873812197705064,DEG_in_2ct(maxLFC=0.87); TF_diff_5ct,2
PA2G4,14.85106983882693,DEG_in_2ct(maxLFC=0.85); TF_diff_5ct,2
AR,14.79631502872385,DEG_in_2ct(maxLFC=0.80); TF_diff_5ct,2
MAP1LC3B,14.772918428325937,DEG_in_5ct(maxLFC=1.77); stem_DEG_CD133plus_progenitor,2
ABI3BP,14.766430265019235,DEG_in_6ct(maxLFC=2.77),1
PLAG1,14.68206199157443,DEG_in_2ct(maxLFC=2.68); TF_diff_4ct,2
NFE2L2,14.654544564882656,DEG_in_2ct(maxLFC=0.65); TF_diff_5ct,2
HOXA5,14.623866986783991,DEG_in_1ct(maxLFC=2.62); TF_diff_5ct,2
NFIC,14.615729034921165,DEG_in_3ct(maxLFC=0.62); TF_diff_4ct,2
MAL2,14.54772055471475,DEG_in_4ct(maxLFC=3.55); stem_DEG_CD133plus_progenitor,2
PARK7,14.505447217459835,DEG_in_2ct(maxLFC=0.51); TF_diff_5ct,2
GADD45A,14.469794327924584,DEG_in_4ct(maxLFC=3.47); stem_DEG_CD133plus_progenitor,2
LRRC17,14.3722393449474,DEG_in_4ct(maxLFC=3.37); stem_DEG_Basalis_fibroblast,2
TRIB1,14.350461069901183,DEG_in_4ct(maxLFC=3.35); stem_DEG_CD133plus_progenitor,2
PTEN,14.311585162690694,DEG_in_5ct(maxLFC=1.31); stem_DEG_CD133plus_progenitor,2
NDUFS5,14.193933695139648,DEG_in_5ct(maxLFC=1.19); stem_DEG_CD133plus_progenitor,2
COX5B,14.170390738260561,DEG_in_5ct(maxLFC=1.17); stem_DEG_CD133plus_progenitor,2
ARID5B,14.167651422379016,DEG_in_1ct(maxLFC=3.17); stem_DEG_CD133plus_progenitor; TF_diff_3ct,3
CP,14.156883544736711,DEG_in_4ct(maxLFC=3.16); comm_ligand,2
LDHA,14.15374154455791,DEG_in_4ct(maxLFC=3.15); stem_DEG_CD133plus_progenitor,2
MYOCD,14.137485691019751,DEG_in_2ct(maxLFC=2.14); TF_diff_4ct,2
SOD2,14.096512342874883,DEG_in_4ct(maxLFC=3.10); stem_DEG_CD133plus_progenitor,2
SGK1,14.082037886847582,DEG_in_4ct(maxLFC=3.08); stem_DEG_CD133plus_progenitor,2
SPP1,14,DEG_in_3ct(maxLFC=6.13); stem_DEG_CD133plus_progenitor,2
TM4SF1,13.720755362242196,DEG_in_3ct(maxLFC=4.72); stem_DEG_CD133plus_progenitor,2
HIST1H4C,13.700237488518356,DEG_in_4ct(maxLFC=2.70); stem_DEG_Basalis_fibroblast,2
GATA3,13.594995485527113,DEG_in_1ct(maxLFC=1.59); TF_diff_5ct,2
ZEB2,13.566456351285263,DEG_in_1ct(maxLFC=3.57); TF_diff_4ct,2
PPARG,13.50679873945961,DEG_in_1ct(maxLFC=1.51); TF_diff_5ct,2
POU5F1,13.50388546990893,DEG_in_1ct(maxLFC=1.50); TF_diff_5ct,2
DDX52,13.50324844978494,DEG_in_4ct(maxLFC=2.50); stem_DEG_CD133plus_progenitor,2
ATOH7,13.462415542463003,DEG_in_1ct(maxLFC=1.46); TF_diff_5ct,2
TGFB1,13.45677613347886,DEG_in_2ct(maxLFC=2.46); comm_ligand; known_stem_gene; fibrosis_gene,4
C19orf33,13.364583397941088,DEG_in_4ct(maxLFC=2.36); stem_DEG_CD133plus_progenitor,2
TUBA1C,13.338606794427196,DEG_in_4ct(maxLFC=2.34); stem_DEG_CD133plus_progenitor,2
ID2,13.291207477802143,DEG_in_2ct(maxLFC=1.29); TF_diff_4ct,2
EDN1,13.21391824906542,DEG_in_3ct(maxLFC=4.21); stem_DEG_CD133plus_progenitor,2
AHR,13.121007164837003,DEG_in_1ct(maxLFC=1.12); TF_diff_5ct,2
FLI1,13.089739867437165,DEG_in_2ct(maxLFC=1.09); TF_diff_4ct,2
WWC1,13.000194442762394,DEG_in_5ct(maxLFC=3.00),1
COMP,13,DEG_in_4ct(maxLFC=6.08),1
HTATIP2,12.99300030520562,DEG_in_1ct(maxLFC=0.99); TF_diff_5ct,2
HES6,12.970151220004794,DEG_in_1ct(maxLFC=0.97); TF_diff_5ct,2
PLA2G2A,12.913614876602374,DEG_in_4ct(maxLFC=4.91),1
EPHA2,12.903047573540936,DEG_in_3ct(maxLFC=3.90); stem_DEG_CD133plus_progenitor,2
CCND2,12.853632666998696,DEG_in_5ct(maxLFC=2.85),1
MXI1,12.793085532871745,DEG_in_2ct(maxLFC=0.79); TF_diff_4ct,2
MEIS2,12.782757267427854,DEG_in_1ct(maxLFC=0.78); TF_diff_5ct,2
SEC61G,12.759680561166157,DEG_in_4ct(maxLFC=1.76); stem_DEG_CD133plus_progenitor,2
ZFPM2,12.695064514020999,DEG_in_1ct(maxLFC=0.70); TF_diff_5ct,2
ELF4,12.662160602354994,DEG_in_1ct(maxLFC=0.66); TF_diff_5ct,2
NR2C2,12.608538582804243,DEG_in_1ct(maxLFC=0.61); TF_diff_5ct,2
GUK1,12.54847026805507,DEG_in_4ct(maxLFC=1.55); stem_DEG_CD133plus_progenitor,2
PRELP,12.547687317698783,DEG_in_3ct(maxLFC=3.55); stem_DEG_Basalis_fibroblast,2
POU3F1,12.493598354618651,DEG_in_1ct(maxLFC=2.49); TF_diff_4ct,2
KMT2A,12.441003795957005,DEG_in_2ct(maxLFC=0.44); TF_diff_4ct,2
MRPL52,12.439716800021559,DEG_in_4ct(maxLFC=1.44); stem_DEG_CD133plus_progenitor,2
KDM5A,12.439595178200356,DEG_in_1ct(maxLFC=0.44); TF_diff_5ct,2
HOXB7,12.430217470286586,DEG_in_1ct(maxLFC=2.43); TF_diff_4ct,2
MAML1,12.423917437221863,DEG_in_1ct(maxLFC=0.42); TF_diff_5ct,2
TMEM70,12.38311826020042,DEG_in_4ct(maxLFC=1.38); stem_DEG_CD133plus_progenitor,2
SEMA5A,12.365191205743322,DEG_in_5ct(maxLFC=2.37),1
PPIA,12.356464063085127,DEG_in_4ct(maxLFC=1.36); stem_DEG_CD133plus_progenitor,2
RPL35,12.3534713361047,DEG_in_4ct(maxLFC=1.35); stem_DEG_CD133plus_progenitor,2
KAT6A,12.340165037971156,DEG_in_1ct(maxLFC=0.34); TF_diff_5ct,2
ROMO1,12.32386928816021,DEG_in_4ct(maxLFC=1.32); stem_DEG_CD133plus_progenitor,2
JUP,12.182224929855074,DEG_in_3ct(maxLFC=3.18); stem_DEG_CD133plus_progenitor,2
POLR2L,12.155201084226944,DEG_in_4ct(maxLFC=1.16); stem_DEG_CD133plus_progenitor,2
RGCC,12.09475678808057,DEG_in_3ct(maxLFC=3.09); stem_DEG_Basalis_fibroblast,2
JUN,12,TF_diff_5ct; known_stem_gene,2
NOTCH1,12,TF_diff_5ct; known_stem_gene,2
DNAJB11,11.91852803955398,DEG_in_4ct(maxLFC=0.92); comm_ligand,2
C2CD4A,11.903498529627218,DEG_in_4ct(maxLFC=3.90),1
ATRX,11.885922412521676,DEG_in_4ct(maxLFC=0.89); stem_DEG_CD133plus_progenitor,2
IQSEC1,11.6208781894688,DEG_in_5ct(maxLFC=1.62),1
KLF15,11.612151748875782,DEG_in_1ct(maxLFC=1.61); TF_diff_4ct,2
TSPAN15,11.574871564505727,DEG_in_3ct(maxLFC=2.57); comm_receptor,2
ADI1,11.561785236041851,DEG_in_3ct(maxLFC=2.56); stem_DEG_CD133plus_progenitor,2
GCNT2,11.53744686599694,DEG_in_4ct(maxLFC=3.54),1
NCOA7,11.45873988058044,DEG_in_3ct(maxLFC=2.46); stem_DEG_CD133plus_progenitor,2
COL5A1,11.391470052040727,DEG_in_3ct(maxLFC=2.39); comm_ligand,2
NFKBIA,11.36407298749134,DEG_in_3ct(maxLFC=2.36); stem_DEG_CD133plus_progenitor,2
EFNA1,11.349101247891463,DEG_in_3ct(maxLFC=2.35); stem_DEG_CD133plus_progenitor,2
MOXD1,11.151376227847427,DEG_in_4ct(maxLFC=3.15),1
ARL16,11.116556192276342,DEG_in_5ct(maxLFC=1.12),1
LHX4,11.098573753479243,DEG_in_1ct(maxLFC=1.10); TF_diff_4ct,2
RPLP1,10.905647035671056,DEG_in_3ct(maxLFC=1.91); stem_DEG_CD133plus_progenitor,2
NFE2L3,10.871419521466825,DEG_in_1ct(maxLFC=0.87); TF_diff_4ct,2
DAXX,10.80482895537827,DEG_in_1ct(maxLFC=0.80); TF_diff_4ct,2
ZNF362,10.70358787415994,DEG_in_1ct(maxLFC=0.70); TF_diff_4ct,2
EGFL6,10.697060926587472,DEG_in_3ct(maxLFC=4.70),1
RPS28,10.680702812645993,DEG_in_3ct(maxLFC=1.68); stem_DEG_CD133plus_progenitor,2
S100A1,10.654228480356046,DEG_in_3ct(maxLFC=4.65),1
GTF3A,10.632463806760981,DEG_in_1ct(maxLFC=0.63); TF_diff_4ct,2
VLDLR,10.596875858462509,DEG_in_3ct(maxLFC=1.60); comm_receptor,2
HOXD3,10.573769284917695,DEG_in_1ct(maxLFC=0.57); TF_diff_4ct,2
RPL36,10.5480631728883,DEG_in_3ct(maxLFC=1.55); stem_DEG_CD133plus_progenitor,2
RPL18A,10.404762979643333,DEG_in_3ct(maxLFC=1.40); stem_DEG_CD133plus_progenitor,2
RPS7,10.371052447322354,DEG_in_3ct(maxLFC=1.37); stem_DEG_CD133plus_progenitor,2
RPL28,10.370396171385606,DEG_in_3ct(maxLFC=1.37); stem_DEG_CD133plus_progenitor,2
TSHZ3,10.323784848813826,DEG_in_4ct(maxLFC=2.32),1
EZR,10.316094346084391,DEG_in_4ct(maxLFC=2.32),1
IRX3,10.288551342232328,DEG_in_3ct(maxLFC=4.29),1
PHLDA2,10.275567384772376,DEG_in_2ct(maxLFC=3.28); stem_DEG_Basalis_fibroblast,2
TMA7,10.264058949899324,DEG_in_3ct(maxLFC=1.26); stem_DEG_CD133plus_progenitor,2
ADH1B,10.255897543627936,DEG_in_2ct(maxLFC=3.26); stem_DEG_Basalis_fibroblast,2
ACTB,10.223793586405137,DEG_in_3ct(maxLFC=1.22); stem_DEG_CD133plus_progenitor,2
CDKN2AIP,10.212938560731407,DEG_in_2ct(maxLFC=3.21); stem_DEG_CD133plus_progenitor,2
LAMC2,10.148649721761197,DEG_in_2ct(maxLFC=3.15); comm_ligand,2
KCTD12,10.07662439926774,DEG_in_4ct(maxLFC=2.08),1
TACSTD2,10.051877983485216,DEG_in_3ct(maxLFC=4.05),1
HNF4G,10,TF_diff_5ct,1
TP53,10,TF_diff_4ct; known_stem_gene,2
HAND1,10,TF_diff_5ct,1
CTBP1,10,TF_diff_5ct,1
NFIL3,10,TF_diff_5ct,1
NFKBIB,10,TF_diff_5ct,1
ZFP42,10,TF_diff_5ct,1
ARX,10,TF_diff_5ct,1
HOXD13,10,TF_diff_5ct,1
ESR1,10,TF_diff_5ct,1
HDGF,10,TF_diff_5ct,1
KLF13,10,TF_diff_5ct,1
TCF21,10,TF_diff_5ct,1
SHOX2,10,TF_diff_5ct,1
HDAC1,10,TF_diff_5ct,1
HNF1A,10,TF_diff_5ct,1
GRHL2,10,TF_diff_5ct,1
ASCL1,10,TF_diff_5ct,1
HR,10,TF_diff_5ct,1
MYC,10,TF_diff_4ct; known_stem_gene,2
JUNB,10,TF_diff_5ct,1
ZNF300,10,TF_diff_5ct,1
BACH1,10,TF_diff_5ct,1
HHEX,10,TF_diff_5ct,1
ETV7,10,TF_diff_5ct,1
ARID1A,10,TF_diff_5ct,1
NKRF,10,TF_diff_5ct,1
STAT2,10,TF_diff_5ct,1
NR2F1,10,TF_diff_5ct,1
LMO2,10,TF_diff_5ct,1
PAX5,10,TF_diff_5ct,1
SESTD1,9.818662956817024,DEG_in_2ct(maxLFC=2.82); stem_DEG_CD133plus_progenitor,2
HOXB5,9.662375795504351,DEG_in_1ct(maxLFC=1.66); TF_diff_3ct,2
MAFF,9.658533655878376,DEG_in_2ct(maxLFC=2.66); stem_DEG_CD133plus_progenitor,2
FCER1G,9.357610877682333,DEG_in_3ct(maxLFC=3.36),1
RBM43,9.21392593513421,DEG_in_4ct(maxLFC=1.21),1
TMC5,9.209679715842768,DEG_in_3ct(maxLFC=3.21),1
H2AFJ,9.20497632407166,DEG_in_4ct(maxLFC=1.20),1
SLC40A1,9.179959119481177,DEG_in_2ct(maxLFC=2.18); comm_receptor,2
DDX39A,9.062674090985462,DEG_in_4ct(maxLFC=1.06),1
HIVEP3,9.047456218438466,DEG_in_1ct(maxLFC=1.05); TF_diff_3ct,2
S100A10,9.002417052822855,DEG_in_2ct(maxLFC=2.00); stem_DEG_CD133plus_progenitor,2
S100A12,9,DEG_in_2ct(maxLFC=6.16),1
NEURL1B,9,DEG_in_2ct(maxLFC=5.14),1
TEX15,9,DEG_in_2ct(maxLFC=5.46),1
SCGB1D2,8.978692886753404,DEG_in_1ct(maxLFC=3.98); stem_DEG_Basalis_fibroblast,2
RAB11FIP1,8.871888965114529,DEG_in_3ct(maxLFC=2.87),1
RPS18,8.835802012599636,DEG_in_2ct(maxLFC=1.84); stem_DEG_CD133plus_progenitor,2
LDLR,8.830524006233198,DEG_in_2ct(maxLFC=1.83); comm_receptor,2
DEPTOR,8.807131418563932,DEG_in_3ct(maxLFC=2.81),1
SYT7,8.757425054416517,DEG_in_3ct(maxLFC=2.76),1
PDGFC,8.663765210174043,DEG_in_2ct(maxLFC=1.66); comm_ligand,2
HES4,8.644769601567845,DEG_in_1ct(maxLFC=3.64); stem_DEG_CD133plus_progenitor,2
RPS9,8.609749902600946,DEG_in_2ct(maxLFC=1.61); stem_DEG_CD133plus_progenitor,2
RPL37,8.591509727002407,DEG_in_2ct(maxLFC=1.59); stem_DEG_CD133plus_progenitor,2
RPL10,8.569687094515254,DEG_in_2ct(maxLFC=1.57); stem_DEG_CD133plus_progenitor,2
RPS12,8.569410218372322,DEG_in_2ct(maxLFC=1.57); stem_DEG_CD133plus_progenitor,2
RPS27,8.56916875891719,DEG_in_2ct(maxLFC=1.57); stem_DEG_CD133plus_progenitor,2
RBP7,8.490235361257477,DEG_in_3ct(maxLFC=2.49),1
RPL8,8.464342704217135,DEG_in_2ct(maxLFC=1.46); stem_DEG_CD133plus_progenitor,2
RPS15,8.425948293847462,DEG_in_2ct(maxLFC=1.43); stem_DEG_CD133plus_progenitor,2
ADGRF1,8.373054066432305,DEG_in_2ct(maxLFC=4.37),1
RPS25,8.322760384523226,DEG_in_2ct(maxLFC=1.32); stem_DEG_CD133plus_progenitor,2
LAMA2,8.315440368980553,DEG_in_2ct(maxLFC=1.32); comm_ligand,2
DDR2,8.308993749874169,DEG_in_2ct(maxLFC=1.31); comm_receptor,2
FAU,8.28142051746184,DEG_in_2ct(maxLFC=1.28); stem_DEG_CD133plus_progenitor,2
LRIG1,8.28049895562286,DEG_in_2ct(maxLFC=1.28); comm_ligand,2
RPL41,8.276595622072033,DEG_in_2ct(maxLFC=1.28); stem_DEG_CD133plus_progenitor,2
RPL11,8.258527403882326,DEG_in_2ct(maxLFC=1.26); stem_DEG_CD133plus_progenitor,2
RPL34,8.257940507623431,DEG_in_2ct(maxLFC=1.26); stem_DEG_CD133plus_progenitor,2
KRT23,8.240939548864187,DEG_in_2ct(maxLFC=4.24),1
RPS13,8.200560724028257,DEG_in_2ct(maxLFC=1.20); stem_DEG_CD133plus_progenitor,2
RPS24,8.185598595335707,DEG_in_2ct(maxLFC=1.19); stem_DEG_CD133plus_progenitor,2
ST6GALNAC3,8.179882257051547,DEG_in_3ct(maxLFC=2.18),1
DDAH1,8.107851684066414,DEG_in_2ct(maxLFC=1.11); stem_DEG_CD133plus_progenitor,2
GLIPR1L2,8.093635173760212,DEG_in_3ct(maxLFC=2.09),1
PLXND1,8.031272810882093,DEG_in_2ct(maxLFC=1.03); comm_receptor,2
PHOX2B,8,TF_diff_4ct,1
PPARD,8,TF_diff_4ct,1
SNAI2,8,TF_diff_4ct,1
HSF4,8,TF_diff_4ct,1
JDP2,8,TF_diff_4ct,1
PAX6,8,TF_diff_4ct,1
PAX9,8,TF_diff_4ct,1
PBRM1,8,TF_diff_4ct,1
MLXIPL,8,TF_diff_4ct,1
TWIST1,8,TF_diff_4ct,1
HOXB4,8,TF_diff_4ct,1
PROP1,8,TF_diff_4ct,1
YAP1,8,TF_diff_4ct,1
TFAP2A,8,TF_diff_4ct,1
KLF8,8,TF_diff_4ct,1
BARX1,8,TF_diff_4ct,1
NKX3-1,8,TF_diff_4ct,1
SCX,8,TF_diff_4ct,1
LHX2,8,TF_diff_4ct,1
HOXA1,8,TF_diff_4ct,1
TFAP4,8,TF_diff_4ct,1
NKX6-1,8,TF_diff_4ct,1
GATA4,8,TF_diff_4ct,1
NR1I3,8,TF_diff_4ct,1
NFATC4,8,TF_diff_4ct,1
HOXA9,8,TF_diff_4ct,1
HOXB1,8,TF_diff_4ct,1
HOXB9,8,TF_diff_4ct,1
TBPL1,8,TF_diff_4ct,1
PYGL,7.9874542444743035,DEG_in_3ct(maxLFC=1.99),1
SCRN1,7.981375517730631,DEG_in_3ct(maxLFC=1.98),1
CD44,7.930602307104035,DEG_in_1ct(maxLFC=0.93); comm_receptor; known_stem_gene,3
ZFAND2A,7.925634487388842,DEG_in_3ct(maxLFC=1.93),1
SPTSSA,7.8680763596490975,DEG_in_3ct(maxLFC=1.87),1
TRBC2,7.84316408277083,DEG_in_2ct(maxLFC=3.84),1
TMEM37,7.821673028637258,DEG_in_3ct(maxLFC=1.82),1
KCNG1,7.801600417899506,DEG_in_2ct(maxLFC=3.80),1
RAC2,7.7243536165162165,DEG_in_2ct(maxLFC=3.72),1
PHYHIPL,7.719819303323912,DEG_in_2ct(maxLFC=3.72),1
PDGFRA,7.709518890518252,DEG_in_1ct(maxLFC=0.71); comm_receptor; known_stem_gene,3
PRTG,7.706745807026629,DEG_in_2ct(maxLFC=0.71); comm_receptor,2
ARPC5,7.649972664320211,DEG_in_2ct(maxLFC=0.65); comm_ligand,2
CDK6,7.527812277712041,DEG_in_3ct(maxLFC=1.53),1
ATP1A2,7.491127695723524,DEG_in_2ct(maxLFC=3.49),1
PYGO1,7.4863056903696386,DEG_in_3ct(maxLFC=1.49),1
PTCHD1,7.484826555513388,DEG_in_2ct(maxLFC=3.48),1
COL1A1,7.414716176883678,DEG_in_1ct(maxLFC=0.41); comm_ligand; fibrosis_gene,3
FAM53B,7.399722840784186,DEG_in_3ct(maxLFC=1.40),1
EIF4A3,7.225771788834868,DEG_in_3ct(maxLFC=1.23),1
SNRPG,7.224301664729627,DEG_in_3ct(maxLFC=1.22),1
BIN2,7.175590277186193,DEG_in_2ct(maxLFC=3.18),1
ITGB2,7.1505723153244745,DEG_in_2ct(maxLFC=3.15),1
PRRG4,7.14859938589324,DEG_in_2ct(maxLFC=3.15),1
TYROBP,7.127455164894957,DEG_in_2ct(maxLFC=3.13),1
GPR22,7.121688086954261,DEG_in_2ct(maxLFC=3.12),1
CCL4,7.119842609260308,DEG_in_2ct(maxLFC=3.12),1
C15orf48,7.037122558430774,DEG_in_2ct(maxLFC=3.04),1
MORC1,7,DEG_in_1ct(maxLFC=5.11),1
IGFBP1,7,DEG_in_1ct(maxLFC=9.06),1
TSPAN8,7,DEG_in_1ct(maxLFC=5.17),1
TCN1,7,DEG_in_1ct(maxLFC=5.36),1
C11orf87,7,DEG_in_1ct(maxLFC=5.16),1
LRCH2,6.979355494137451,DEG_in_3ct(maxLFC=0.98),1
RPS21,6.969714476728647,DEG_in_1ct(maxLFC=1.97); stem_DEG_CD133plus_progenitor,2
ITPA,6.966734476789437,DEG_in_3ct(maxLFC=0.97),1
PDS5B,6.95774651660278,DEG_in_3ct(maxLFC=0.96),1
GSG1L,6.947118364362978,DEG_in_1ct(maxLFC=4.95),1
ZNF827,6.845474334071649,DEG_in_3ct(maxLFC=0.85),1
ERBB3,6.790142189910398,DEG_in_2ct(maxLFC=2.79),1
RPS29,6.721188611856451,DEG_in_1ct(maxLFC=1.72); stem_DEG_CD133plus_progenitor,2
TMEM45B,6.720597438538755,DEG_in_2ct(maxLFC=2.72),1
ASXL3,6.676265345334787,DEG_in_2ct(maxLFC=2.68),1
TMEM106B,6.623305919293046,DEG_in_3ct(maxLFC=0.62),1
CMTM5,6.590275376052341,DEG_in_2ct(maxLFC=2.59),1
KIF13B,6.55443392489909,DEG_in_1ct(maxLFC=1.55); stem_DEG_CD133plus_progenitor,2
ADRA2A,6.540392467223095,DEG_in_1ct(maxLFC=1.54); comm_receptor,2
KIF26B,6.515893371540222,DEG_in_2ct(maxLFC=2.52),1
SYT2,6.504715709456075,DEG_in_2ct(maxLFC=2.50),1
FNDC1,6.501098499003842,DEG_in_2ct(maxLFC=2.50),1
ACTG1,6.494070171462531,DEG_in_1ct(maxLFC=1.49); stem_DEG_CD133plus_progenitor,2
VCAN,6.444328306161395,DEG_in_2ct(maxLFC=2.44),1
SIPA1L2,6.382598833435706,DEG_in_2ct(maxLFC=2.38),1
LINC01579,6.347831821359437,DEG_in_2ct(maxLFC=2.35),1
GPR160,6.345856014797877,DEG_in_2ct(maxLFC=2.35),1
RPL30,6.330836877587203,DEG_in_1ct(maxLFC=1.33); stem_DEG_CD133plus_progenitor,2
AP2B1,6.311928262304911,DEG_in_1ct(maxLFC=1.31); stem_DEG_CD133plus_progenitor,2
LPGAT1,6.252472911807813,DEG_in_1ct(maxLFC=1.25); stem_DEG_CD133plus_progenitor,2
MIA3,6.1800193241223695,DEG_in_1ct(maxLFC=1.18); stem_DEG_CD133plus_progenitor,2
FAM167B,6.163871006630498,DEG_in_2ct(maxLFC=2.16),1
