source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Macrophages,SOX9+LGR5+_stem,HLA-A,APLP2,1.7335366,0.0,2.3059592,0.30971415885207704,0.20977048512324703,0.0072091827,0.9129808,0.4606430810365496,0.0011640983392728148
Decidualized_stromal,Basalis_fibroblast,VCAN,ITGB1,1.7324693,0.0,2.9831333,0.9142846549910778,1.1574807899770043,0.024306709,0.92267966,0.07556792805553825,0.0011712675987620574
Decidualized_stromal,Basalis_fibroblast,LUM,ITGB1,1.7306566,0.0,2.9773433,1.031995386967873,1.269266024010362,0.02491361,0.92261034,0.03826304804728658,0.0011820621463634977
SOX9+LGR5+_stem,SOX9+LGR5+_stem,WNT2B,FZD2_LRP5,0.051466234,0.0,0.0026404753,0.2055444394225688,0.05317204843010659,0.027080167,0.2620076,0.39555757894713456,0.001189060611921225
SOX9+LGR5+_stem,SOX9+LGR5+_stem,WNT2B,FZD2_LRP6,0.051466234,0.0,0.0026404753,0.2055444394225688,0.05317204843010659,0.027080167,0.2620076,0.39555757894713456,0.001189060611921225
Lymphatic_endothelium,SOX9+LGR5+_stem,HLA-A,APLP2,1.7290477,0.0,2.2979028,0.30507315901670135,0.24367662668587464,0.0071839965,0.9128417,0.46483675476510583,0.0011929060113467734
Smooth_muscle,SOX9+LGR5+_stem,TIMP1,CD63,1.7274388,0.0,2.7982972,0.40878832355199135,0.355583419292717,0.008483054,0.92036694,0.30826467475602,0.0012110881490389935
Basalis_fibroblast,B_cells,COL1A1,CD44,1.7249737,0.0,2.775849,0.7628002840172388,1.0423491088712347,0.016853701,0.9200713,0.07556792805553825,0.001225732124672205
Macrophages,CD133+_progenitor,TIMP1,CD63,1.7229819,0.0,2.9341874,0.3966756251997339,0.8766284432802087,0.008895005,0.92208743,0.26924205644713906,0.0012294067110055283
Lymphatic_endothelium,CD133+_progenitor,TIMP1,CD63,1.7206558,0.0,2.925308,0.3943773260680403,0.4391565017332584,0.008868088,0.92197853,0.2714466117030474,0.0012478618684719652
Basalis_fibroblast,Lymphoid_immune,COL1A1,CD44,1.7174978,0.0,2.7433765,0.7547455290594741,0.9549557815754004,0.016656542,0.91963756,0.07556792805553825,0.0012664532066035941
CD133+_progenitor,Macrophages,ANXA1,FPR1,1.7130524,0.0,2.6365848,1.4537004995387013,1.6428685114463084,0.10094464,0.91815805,0.00012935654717634247,0.0013078340293351644
Basalis_fibroblast,Glandular_epithelium,VIM,CD44,2.1551142,0.0,2.2101474,0.2601792809004172,0.1973984907687113,0.004556189,0.9112802,0.8610717361413156,0.001330683631657021
Basalis_fibroblast,NKT_cells,COL1A1,CD44,1.7065427,0.0,2.6957917,0.7429441559106484,1.125339630224983,0.01636763,0.9189886,0.07556792805553825,0.001357589234826274
Glandular_epithelium,Basalis_fibroblast,COL1A2,CD44,1.7056563,0.0,2.5481648,0.690857466426867,1.1405984667691442,0.01448976,0.9168673,0.07556792805553825,0.0013847620579544322
Basalis_fibroblast,Pericyte,LUM,ITGB1,1.8745995,0.0,2.1886683,1.1800093754009475,1.7460195133232181,0.018314188,0.9108846,0.012264012357878136,0.001404334571209941
Lymphatic_endothelium,Basalis_fibroblast,A2M,LRP1,1.7033658,0.0,2.5428467,2.0580208295127953,2.5019860229824094,0.14051984,0.9167876,1.4609345489721662e-05,0.0014082653738534782
Basalis_fibroblast,Lymphatic_endothelium,COL1A2,CD93,1.7032678,0.0,2.4251027,1.5671673269804889,1.8711178478844435,0.09889167,0.9149613,0.00014622226709755254,0.001412201623115705
SOX9+LGR5+_stem,Glandular_epithelium,TNFSF9,PVR,0.05288899,0.013,0.0027513667,0.022741935707498995,-0.01631602847504955,0.0063628852,0.26600426,1.0,0.0014268350511092577
Decidualized_stromal,SOX9+LGR5+_stem,VIM,CD44,1.9597718,0.0,2.1785753,0.12450328289178328,-0.13803482485945973,0.004491104,0.91069686,1.0,0.0014438880929168935
Decidualized_stromal,CD133+_progenitor,TIMP1,CD63,1.6998298,0.0,2.845808,0.37378828190160723,0.21065838679324256,0.008627083,0.92098176,0.294005544163668,0.0014478733534642318
Basalis_fibroblast,Lymphatic_endothelium,LGALS3,ENG,1.6989489,0.0,2.7861671,1.4108245280484693,1.5842308537937664,0.048664335,0.9202076,0.002540178429662476,0.0014558604197026114
Pericyte,Basalis_fibroblast,MDK,LRP1,1.6978896,0.0,2.5307493,1.6577734116525709,1.718936180070578,0.058582384,0.91660553,0.001288859153805351,0.001459862013897336
